Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 15 2002,1:00,@,Indianapolis Colts,L 13-21,L PK,,Miami Dolphins,U 47,
Sun,Sep 15 2002,1:00,@,Kansas City Chiefs,L 16-23,L -3.5,,Jacksonville Jaguars,U 46,
Sun,Sep 15 2002,1:02,,Tampa Bay Buccaneers,W 25-0,W -4.5,@,Baltimore Ravens,U 32,
Sun,Sep 15 2002,1:02,,Tennessee Titans,L 13-21,L -3.5,@,Dallas Cowboys,U 37.5,
Sun,Sep 15 2002,1:03,@,Cleveland Browns,W 20-7,W -3.5,,Cincinnati Bengals,U 39,
Sun,Sep 15 2002,1:03,@,New York Jets,L 7-44,L -1,,New England Patriots,O 41,
Sun,Sep 15 2002,1:04,@,Atlanta Falcons,L 13-14,L -2.5,,Chicago Bears,U 45,
Sun,Sep 15 2002,1:04,@,Carolina Panthers,W 31-7,W -3,,Detroit Lions,O 35.5,
Sun,Sep 15 2002,1:04,,Green Bay Packers,L 20-35,L -2.5,@,New Orleans Saints,O 45.5,
Sun,Sep 15 2002,3:05,@,St Louis Rams,L 21-26,L -12,,New York Giants,O 46,
Sun,Sep 15 2002,4:00,@,San Francisco 49ers,L 14-24,L -3.5,,Denver Broncos,U 44,
Sun,Sep 15 2002,4:05,@,Seattle Seahawks,L 13-24,L -4,,Arizona Cardinals,U 40.5,
Sun,Sep 15 2002,4:15,@,Minnesota Vikings,L 39-45 (OT),L -3.5,,Buffalo Bills,O 49,
Sun,Sep 15 2002,4:15,@,San Diego Chargers,W 24-3,W -13.5,,Houston Texans,U 34,
Sun,Sep 15 2002,8:35,@,Pittsburgh Steelers,L 17-30,L -4,,Oakland Raiders,O 39.5,
Mon,Sep 16 2002,9:05,,Philadelphia Eagles,W 37-7,W -3,@,Washington Redskins,P 44,
