Sun,"Oct 13, 1968",,,New York Giants,L 21-24,L -14,@,Atlanta Falcons,,
Sun,"Oct 13, 1968",,@,Chicago Bears,L 10-28,L PK,,Detroit Lions,,
Sun,"Oct 13, 1968",,@,Cleveland Browns,L 21-27,L -4,,St Louis Cardinals,,
Sun,"Oct 13, 1968",,@,Dallas Cowboys,W 34-14,W -19,,Philadelphia Eagles,,
Sun,"Oct 13, 1968",,@,Green Bay Packers,L 14-16,L -1,,Los Angeles Rams,,at Milwaukee
Sun,"Oct 13, 1968",,,Minnesota Vikings,L 17-20,L -7,@,New Orleans Saints,,
Sun,"Oct 13, 1968",,,Baltimore Colts,W 42-14,W -8,@,San Francisco 49ers,,
Sun,"Oct 13, 1968",,@,Washington Redskins,W 16-13,L -8.5,,Pittsburgh Steelers,,
