Round,Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Sun,"Nov 10, 1968",,,San Diego Chargers,W 27-17,L -13,@,Boston Patriots,,
Sun,"Nov 10, 1968",,@,Buffalo Bills,L 17-21,L PK,,Miami Dolphins,,
Sun,"Nov 10, 1968",,,Kansas City Chiefs,W 16-9,L -15,@,Cincinnati Bengals,,
Sun,"Nov 10, 1968",,,Oakland Raiders,W 43-7,W -11,@,Denver Broncos,,
Sun,"Nov 10, 1968",,@,New York Jets,W 26-7,W -6.5,,Houston Oilers,,
