Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,Dec 20 1980,12:30,@,Miami Dolphins,L 17-24,L -6,,New York Jets,O 40,
Sat,Dec 20 1980,4:00,,Chicago Bears,W 14-13,P -1,@,Tampa Bay Buccaneers,U 35,
Sun,Dec 21 1980,1:00,,Cleveland Browns,W 27-24,P -3,@,Cincinnati Bengals,O 38,
Sun,Dec 21 1980,1:00,@,Detroit Lions,W 24-3,W -6,,Green Bay Packers,U 38,
Sun,Dec 21 1980,1:00,@,Houston Oilers,W 20-16,L -10,,Minnesota Vikings,U 37,
Sun,Dec 21 1980,1:00,,New England Patriots,W 38-27,W -9,@,New Orleans Saints,O 48,
Sun,Dec 21 1980,1:00,,Oakland Raiders,W 33-17,W -8,@,New York Giants,O 42,
Sun,Dec 21 1980,1:00,@,St Louis Cardinals,L 7-31,L -2,,Washington Redskins,P 38,
Sun,Dec 21 1980,2:00,@,Baltimore Colts,L 28-38,L -3,,Kansas City Chiefs,O 42,
Sun,Dec 21 1980,4:00,@,Dallas Cowboys,W 35-27,W -5,,Philadelphia Eagles,O 42,
Sun,Dec 21 1980,4:00,@,Los Angeles Rams,W 20-17 (OT),P -3,,Atlanta Falcons,U 44,
Sun,Dec 21 1980,4:00,,Buffalo Bills,W 18-13,L -6,@,San Francisco 49ers,U 42,
Sun,Dec 21 1980,4:00,@,Seattle Seahawks,L 17-25,L -2,,Denver Broncos,P 42,
Mon,Dec 22 1980,9:00,@,San Diego Chargers,W 26-17,W -4,,Pittsburgh Steelers,U 44,
