Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 7 1980,1:00,,Miami Dolphins,L 7-17,L -3,@,Buffalo Bills,U 35,
Sun,Sep 7 1980,1:00,,Tampa Bay Buccaneers,W 17-12,W -1,@,Cincinnati Bengals,U 34,
Sun,Sep 7 1980,1:00,,Chicago Bears,L 6-12 (OT),L -6,@,Green Bay Packers,U 35,
Sun,Sep 7 1980,1:00,@,Minnesota Vikings,W 24-23,L -4,,Atlanta Falcons,O 42,
Sun,Sep 7 1980,1:00,@,New England Patriots,W 34-17,W -6,,Cleveland Browns,O 38,
Sun,Sep 7 1980,1:00,@,New Orleans Saints,L 23-26,L -4,,San Francisco 49ers,O 45,
Sun,Sep 7 1980,1:00,@,Pittsburgh Steelers,W 31-17,W -7,,Houston Oilers,O 40,
Sun,Sep 7 1980,1:00,@,St Louis Cardinals,L 35-41,L -7,,New York Giants,O 42,
Sun,Sep 7 1980,4:00,@,Kansas City Chiefs,L 14-27,L -3,,Oakland Raiders,U 42,
Sun,Sep 7 1980,4:00,@,Los Angeles Rams,L 20-41,L -9,,Detroit Lions,O 38,
Sun,Sep 7 1980,4:00,@,New York Jets,L 14-17,L -6,,Baltimore Colts,U 41,
Sun,Sep 7 1980,4:00,@,Philadelphia Eagles,W 27-6,W -3,,Denver Broncos,U 38,
Sun,Sep 7 1980,4:00,,San Diego Chargers,W 34-13,W -2,@,Seattle Seahawks,O 45,
Mon,Sep 8 1980,9:00,@,Washington Redskins,L 3-17,L -2,,Dallas Cowboys,U 45,
