Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 9 1980,1:00,@,Chicago Bears,W 35-21,W -3,,Washington Redskins,O 34,
Sun,Nov 9 1980,1:00,,Dallas Cowboys,L 35-38,L -10,@,New York Giants,O 44,
Sun,Nov 9 1980,1:00,,Pittsburgh Steelers,W 24-21,L -7,@,Tampa Bay Buccaneers,O 43,
Sun,Nov 9 1980,2:00,@,Baltimore Colts,L 27-28,L -4,,Cleveland Browns,O 42,
Sun,Nov 9 1980,2:00,@,Green Bay Packers,W 23-16,W -3,,San Francisco 49ers,U 42,at Milwaukee
Sun,Nov 9 1980,2:00,@,Minnesota Vikings,W 34-0,W -2,,Detroit Lions,U 39,
Sun,Nov 9 1980,2:00,,Atlanta Falcons,W 33-27 (OT),W -1,@,St Louis Cardinals,O 43,
Sun,Nov 9 1980,4:00,@,Los Angeles Rams,L 14-35,L -11,,Miami Dolphins,O 41,
Sun,Nov 9 1980,4:00,,Philadelphia Eagles,W 34-21,W -9,@,New Orleans Saints,O 43,
Sun,Nov 9 1980,4:00,,Buffalo Bills,W 31-24,W -4,@,New York Jets,O 38,
Sun,Nov 9 1980,4:00,@,Oakland Raiders,W 28-17,W -7,,Cincinnati Bengals,O 42,
Sun,Nov 9 1980,4:00,@,San Diego Chargers,L 13-20,L -9,,Denver Broncos,U 45,
Sun,Nov 9 1980,4:00,@,Seattle Seahawks,L 30-31,L -3,,Kansas City Chiefs,O 40,
Mon,Nov 10 1980,9:00,@,Houston Oilers,W 38-34,W -3,,New England Patriots,O 43,
