Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,"Oct 23, 1988",1:00,,New York Giants,W 23-16,L -7.5,@,Atlanta Falcons,U 43,
Sun,"Oct 23, 1988",1:00,@,Buffalo Bills,W 23-20,L -6.5,,New England Patriots,O 40,
Sun,"Oct 23, 1988",1:00,@,Cincinnati Bengals,W 44-21,W -5,,Houston Oilers,O 46,
Sun,"Oct 23, 1988",1:00,@,Kansas City Chiefs,L 6-7,L -6.5,,Detroit Lions,U 37,
Sun,"Oct 23, 1988",1:00,@,New Orleans Saints,W 20-6,W -5,,Los Angeles Raiders,U 42,
Sun,"Oct 23, 1988",1:00,@,Philadelphia Eagles,W 24-23,L -5.5,,Dallas Cowboys,O 41,
Sun,"Oct 23, 1988",1:00,,Denver Broncos,L 21-39,L -4,@,Pittsburgh Steelers,O 41,
Sun,"Oct 23, 1988",1:00,,Minnesota Vikings,W 49-20,W -3.5,@,Tampa Bay Buccaneers,O 42,
Sun,"Oct 23, 1988",4:00,,Washington Redskins,W 20-17,L -5,@,Green Bay Packers,U 44,at Milwaukee
Sun,"Oct 23, 1988",4:00,@,Los Angeles Rams,W 31-10,W -4.5,,Seattle Seahawks,P 41,
Sun,"Oct 23, 1988",4:00,@,Miami Dolphins,L 30-44,L -6.5,,New York Jets,O 43,
Sun,"Oct 23, 1988",4:00,,Cleveland Browns,W 29-21,W -1,@,Phoenix Cardinals,O 41,
Sun,"Oct 23, 1988",4:00,@,San Diego Chargers,L 0-16,L PK,,Indianapolis Colts,U 39,
Mon,"Oct 24, 1988",9:00,@,Chicago Bears,W 10-9,L -2.5,,San Francisco 49ers,U 39,
