Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 11 1988,1:00,,New Orleans Saints,W 29-21,L -8.5,@,Atlanta Falcons,O 43,
Sun,Sep 11 1988,1:00,@,Buffalo Bills,W 9-6,P -3,,Miami Dolphins,U 44,
Sun,Sep 11 1988,1:00,@,Green Bay Packers,L 10-13,L -6.5,,Tampa Bay Buccaneers,U 42,
Sun,Sep 11 1988,1:00,,Chicago Bears,W 17-13,W -1.5,@,Indianapolis Colts,U 42,
Sun,Sep 11 1988,1:00,@,New York Giants,L 17-20,L -2,,San Francisco 49ers,U 44,
Sun,Sep 11 1988,1:00,@,Washington Redskins,W 30-29,L -7.5,,Pittsburgh Steelers,O 43,
Sun,Sep 11 1988,4:00,@,Cleveland Browns,L 3-23,L -9.5,,New York Jets,U 40,
Sun,Sep 11 1988,4:00,@,Denver Broncos,W 34-3,W -12,,San Diego Chargers,U 43,
Sun,Sep 11 1988,4:00,@,Houston Oilers,W 38-35,W -2.5,,Los Angeles Raiders,O 40,
Sun,Sep 11 1988,4:00,@,Los Angeles Rams,W 17-10,L -10,,Detroit Lions,U 43,
Sun,Sep 11 1988,4:00,@,Minnesota Vikings,W 36-6,W -6.5,,New England Patriots,U 45,
Sun,Sep 11 1988,4:00,@,Philadelphia Eagles,L 24-28,L -5,,Cincinnati Bengals,O 47,
Sun,Sep 11 1988,4:00,@,Seattle Seahawks,W 31-10,W -8,,Kansas City Chiefs,U 43,
Mon,Sep 12 1988,8:00,@,Phoenix Cardinals,L 14-17,L -2.5,,Dallas Cowboys,U 45,
