Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 4 1988,1:00,,Minnesota Vikings,L 10-13,L -2.5,@,Buffalo Bills,U 44,
Sun,Sep 4 1988,1:00,@,Chicago Bears,W 34-7,W -3.5,,Miami Dolphins,U 46,
Sun,Sep 4 1988,1:00,@,Cincinnati Bengals,W 21-14,W -5.5,,Phoenix Cardinals,U 47,
Sun,Sep 4 1988,1:00,@,Detroit Lions,W 31-17,W -4,,Atlanta Falcons,O 43,
Sun,Sep 4 1988,1:00,,Los Angeles Rams,W 34-7,W -3,@,Green Bay Packers,U 43,
Sun,Sep 4 1988,1:00,@,New Orleans Saints,L 33-34,L PK,,San Francisco 49ers,O 43,
Sun,Sep 4 1988,1:00,@,Pittsburgh Steelers,W 24-21,P -3,,Dallas Cowboys,O 41,
Sun,Sep 4 1988,1:00,,Philadelphia Eagles,W 41-14,W -6.5,@,Tampa Bay Buccaneers,O 43,
Sun,Sep 4 1988,4:00,@,Denver Broncos,L 14-21,L -4,,Seattle Seahawks,U 46,
Sun,Sep 4 1988,4:00,@,Indianapolis Colts,L 14-17 (OT),L -3,,Houston Oilers,U 41,
Sun,Sep 4 1988,4:00,,Cleveland Browns,W 6-3,L -3.5,@,Kansas City Chiefs,U 42,
Sun,Sep 4 1988,4:00,@,Los Angeles Raiders,W 24-13,W -6,,San Diego Chargers,U 41,
Sun,Sep 4 1988,4:00,@,New England Patriots,W 28-3,W -6,,New York Jets,U 45,
Mon,Sep 5 1988,8:00,@,New York Giants,W 27-20,W -2,,Washington Redskins,O 42,
