Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,Dec 17 1988,12:30,@,Cincinnati Bengals,W 20-17 (OT),L -7.5,,Washington Redskins,U 44,
Sat,Dec 17 1988,4:00,,New England Patriots,L 10-21,L -1,@,Denver Broncos,U 39,
Sun,Dec 18 1988,1:00,@,Cleveland Browns,W 28-23,W -2,,Houston Oilers,O 45,
Sun,Dec 18 1988,1:00,,Philadelphia Eagles,W 23-7,W -2,@,Dallas Cowboys,U 45,
Sun,Dec 18 1988,1:00,,Buffalo Bills,L 14-17,L -3,@,Indianapolis Colts,U 39,
Sun,Dec 18 1988,1:00,@,New Orleans Saints,W 10-9,L -8,,Atlanta Falcons,U 40,
Sun,Dec 18 1988,1:00,,New York Giants,L 21-27,L -6,@,New York Jets,O 41,
Sun,Dec 18 1988,1:00,@,Pittsburgh Steelers,W 40-24,W -2,,Miami Dolphins,O 41,
Sun,Dec 18 1988,1:00,@,Tampa Bay Buccaneers,W 21-10,W -3,,Detroit Lions,U 37,
Sun,Dec 18 1988,4:00,@,Los Angeles Raiders,L 37-43,L -3,,Seattle Seahawks,O 40,
Sun,Dec 18 1988,4:00,@,Phoenix Cardinals,L 17-26,L -7,,Green Bay Packers,P 43,
Sun,Dec 18 1988,4:00,@,San Diego Chargers,W 24-13,W -1,,Kansas City Chiefs,U 39,
Sun,Dec 18 1988,8:00,@,San Francisco 49ers,L 16-38,L -6,,Los Angeles Rams,O 40,
Mon,Dec 19 1988,9:00,@,Minnesota Vikings,W 28-27,L -7,,Chicago Bears,O 39,
