Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 27 1970,1:00,,New York Jets,W 31-21,L -13,@,Boston Patriots,,
Sun,Sep 27 1970,1:00,,Los Angeles Rams,W 19-0,W -18,@,Buffalo Bills,,
Sun,Sep 27 1970,1:00,@,Detroit Lions,W 38-3,W -13,,Cincinnati Bengals,,
Sun,Sep 27 1970,2:00,@,Chicago Bears,W 20-16,L -11,,Philadelphia Eagles,,
Sun,Sep 27 1970,2:00,@,Dallas Cowboys,W 28-10,W -10,,New York Giants,,
Sun,Sep 27 1970,2:00,@,Green Bay Packers,W 27-24,L -4,,Atlanta Falcons,,
Sun,Sep 27 1970,2:00,@,Houston Oilers,L 10-20,L -9,,Miami Dolphins,,
Sun,Sep 27 1970,2:00,@,Minnesota Vikings,W 26-0,W -14,,New Orleans Saints,,
Sun,Sep 27 1970,2:00,@,St Louis Cardinals,W 27-17,W -2,,Washington Redskins,,
Sun,Sep 27 1970,4:00,@,Denver Broncos,W 16-13,P -3,,Pittsburgh Steelers,,
Sun,Sep 27 1970,4:00,,Oakland Raiders,T 27-27,L -4,@,San Diego Chargers,,
Sun,Sep 27 1970,4:00,,Cleveland Browns,L 31-34,L -2,@,San Francisco 49ers,,
Mon,Sep 28 1970,9:00,,Kansas City Chiefs,W 44-24,W -3,@,Baltimore Colts,,
