Sun,"Nov 15, 1970",1:00,,San Diego Chargers,W 16-14,L -14,@,Boston Patriots,,
Sun,"Nov 15, 1970",1:00,,Cleveland Browns,L 10-14,L -7,@,Cincinnati Bengals,,
Sun,"Nov 15, 1970",1:00,@,Miami Dolphins,W 21-10,W -2,,New Orleans Saints,,
Sun,"Nov 15, 1970",1:00,@,New York Giants,W 35-33,W -1,,Washington Redskins,,
Sun,"Nov 15, 1970",1:00,,Atlanta Falcons,T 13-13,L -3.5,@,Philadelphia Eagles,,
Sun,"Nov 15, 1970",1:00,,Kansas City Chiefs,W 31-14,W -9,@,Pittsburgh Steelers,,
Sun,"Nov 15, 1970",2:00,@,Baltimore Colts,T 17-17,L -17,,Buffalo Bills,,
Sun,"Nov 15, 1970",2:00,@,Green Bay Packers,W 20-19,L -7,,Chicago Bears,,
Sun,"Nov 15, 1970",2:00,,San Francisco 49ers,W 30-20,P -10,@,Houston Oilers,,
Sun,"Nov 15, 1970",2:00,@,Minnesota Vikings,W 24-20,L -7.5,,Detroit Lions,,
Sun,"Nov 15, 1970",3:00,,Oakland Raiders,W 24-19,L -6,@,Denver Broncos,,
Sun,"Nov 15, 1970",4:00,@,Los Angeles Rams,L 20-31,L -16.5,,New York Jets,,
Mon,"Nov 16, 1970",9:00,@,Dallas Cowboys,L 0-38,L -1,,St Louis Cardinals,,
