Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 18, 1970",1:00,,New York Giants,W 16-0,W -2,@,Boston Patriots,,
Sun,"Oct 18, 1970",1:00,,Miami Dolphins,W 33-14,W -7.5,@,Buffalo Bills,,
Sun,"Oct 18, 1970",1:00,,Detroit Lions,W 41-24,W -2,@,Cleveland Browns,,
Sun,"Oct 18, 1970",1:00,,Baltimore Colts,W 29-22,W -2,@,New York Jets,,
Sun,"Oct 18, 1970",1:00,,St Louis Cardinals,W 35-20,W -8,@,Philadelphia Eagles,,
Sun,"Oct 18, 1970",2:00,@,Chicago Bears,L 7-20,L -2,,San Diego Chargers,,
Sun,"Oct 18, 1970",2:00,,Los Angeles Rams,W 31-21,W -7,@,Green Bay Packers,,
Sun,"Oct 18, 1970",2:00,@,Houston Oilers,L 3-7,L -5.5,,Pittsburgh Steelers,,
Sun,"Oct 18, 1970",4:00,,Kansas City Chiefs,W 27-19,L -10,@,Cincinnati Bengals,,
Sun,"Oct 18, 1970",4:00,@,Denver Broncos,W 24-10,W PK,,Atlanta Falcons,,
Sun,"Oct 18, 1970",4:00,@,Minnesota Vikings,W 54-13,W -8,,Dallas Cowboys,,
Sun,"Oct 18, 1970",4:00,@,San Francisco 49ers,T 20-20,L -10,,New Orleans Saints,,
Mon,"Oct 19, 1970",9:00,@,Oakland Raiders,W 34-20,W -6.5,,Washington Commanders,,
