Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Oct 3, 1970",8:00,,Oakland Raiders,L 13-20,L -4.5,@,Miami Dolphins,,
Sat,"Oct 3, 1970",9:00,@,Cleveland Browns,W 15-7,W -5.5,,Pittsburgh Steelers,,
Sun,"Oct 4, 1970",1:00,@,Atlanta Falcons,W 21-20,L -2,,San Francisco 49ers,,
Sun,"Oct 4, 1970",1:00,,Baltimore Colts,W 14-6,L -10,@,Boston Patriots,,
Sun,"Oct 4, 1970",1:00,,New York Jets,L 31-34,L -14,@,Buffalo Bills,,
Sun,"Oct 4, 1970",1:00,,Houston Oilers,W 20-13,W -5,@,Cincinnati Bengals,,
Sun,"Oct 4, 1970",1:00,,Washington Redskins,W 33-21,W -7,@,Philadelphia Eagles,,
Sun,"Oct 4, 1970",2:00,@,New Orleans Saints,W 14-10,W -1,,New York Giants,,
Sun,"Oct 4, 1970",2:00,,Dallas Cowboys,L 7-20,L -5,@,St Louis Cardinals,,
Sun,"Oct 4, 1970",4:00,,Kansas City Chiefs,L 13-26,L -11,@,Denver Broncos,,
Sun,"Oct 4, 1970",4:00,,Minnesota Vikings,L 10-13,L -8,@,Green Bay Packers,,at Milwaukee
Sun,"Oct 4, 1970",4:00,@,Los Angeles Rams,W 37-10,W -12.5,,San Diego Chargers,,
Mon,"Oct 5, 1970",9:00,@,Detroit Lions,W 28-14,W -12.5,,Chicago Bears,,
