AFC Wild Card,Sat,"Jan 4, 2014",4:35,,Kansas City Chiefs (5),L 44-45,L -1.5,@,Indianapolis Colts (4),O 48
NFC Wild Card,Sat,"Jan 4, 2014",8:14,@,Philadelphia Eagles (3),L 24-26,L -3,,New Orleans Saints (6),U 54.5
AFC Wild Card,Sun,"Jan 5, 2014",1:06,@,Cincinnati Bengals (3),L 10-27,L -6,,San Diego Chargers (6),U 47.5
NFC Wild Card,Sun,"Jan 5, 2014",4:40,,San Francisco 49ers (5),W 23-20,P -3,@,Green Bay Packers (4),U 46.5
NFC Divisional,Sat,"Jan 11, 2014",4:36,@,Seattle Seahawks (1),W 23-15,L -9,,New Orleans Saints (6),U 44
AFC Divisional,Sat,"Jan 11, 2014",8:15,@,New England Patriots (2),W 43-22,W -7,,Indianapolis Colts (4),O 51
NFC Divisional,Sun,"Jan 12, 2014",1:05,,San Francisco 49ers (5),W 23-10,W -1,@,Carolina Panthers (2),U 41
AFC Divisional,Sun,"Jan 12, 2014",4:40,@,Denver Broncos (1),W 24-17,L -7.5,,San Diego Chargers (6),U 55
AFC Championship,Sun,"Jan 19, 2014",3:06,@,Denver Broncos (1),W 26-16,W -5,,New England Patriots (2),U 56.5
NFC Championship,Sun,"Jan 19, 2014",6:42,@,Seattle Seahawks (1),W 23-17,W -4,,San Francisco 49ers (5),U 40.5
Super Bowl XLVIII,Sun,"Feb 2, 2014",6:32,N,Denver Broncos (1),L 8-43,L -2.5,,Seattle Seahawks (1),O 47.5
