Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 5 2013,8:29,,Houston Texans,L 20-27,L -3.5,@,Jacksonville Jaguars,O 43.5,
Sun,Dec 8 2013,1:02,@,Cincinnati Bengals,W 42-28,W -7,,Indianapolis Colts,O 43,
Sun,Dec 8 2013,1:02,@,Green Bay Packers,W 22-21,L -3.5,,Atlanta Falcons,U 47,
Sun,Dec 8 2013,1:02,@,New England Patriots,W 27-26,L -9.5,,Cleveland Browns,O 47.5,
Sun,Dec 8 2013,1:02,@,New York Jets,W 37-27,W -3,,Oakland Raiders,O 39,
Sun,Dec 8 2013,1:02,@,Philadelphia Eagles,W 34-20,W -2,,Detroit Lions,O 51,
Sun,Dec 8 2013,1:02,@,Pittsburgh Steelers,L 28-34,L -3,,Miami Dolphins,O 40.5,
Sun,Dec 8 2013,1:02,@,Tampa Bay Buccaneers,W 27-6,W -2.5,,Buffalo Bills,U 42.5,
Sun,Dec 8 2013,1:03,@,Baltimore Ravens,W 29-26,L -6,,Minnesota Vikings,O 41.5,
Sun,Dec 8 2013,1:03,,Kansas City Chiefs,W 45-10,W -3,@,Washington Redskins,O 44,
Sun,Dec 8 2013,4:05,@,Denver Broncos,W 51-28,W -13.5,,Tennessee Titans,O 49.5,
Sun,Dec 8 2013,4:25,@,Arizona Cardinals,W 30-10,W -4.5,,St Louis Rams,U 41,
Sun,Dec 8 2013,4:25,@,San Diego Chargers,W 37-14,W -4,,New York Giants,O 47,
Sun,Dec 8 2013,4:26,@,San Francisco 49ers,W 19-17,P -2,,Seattle Seahawks,U 41,
Sun,Dec 8 2013,8:30,@,New Orleans Saints,W 31-13,W -3,,Carolina Panthers,U 47,
Mon,Dec 9 2013,8:40,@,Chicago Bears,W 45-28,W -1.5,,Dallas Cowboys,O 49,
