Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Oct 3 1993,1:00,@,Chicago Bears,W 6-0,P -6,,Atlanta Falcons,U 44,
Sun,Oct 3 1993,1:00,@,Dallas Cowboys,W 36-14,W -11,,Green Bay Packers,O 37,
Sun,Oct 3 1993,1:00,@,Kansas City Chiefs,W 24-9,W -9,,Los Angeles Raiders,U 36.5,
Sun,Oct 3 1993,1:00,,Detroit Lions,L 10-27,L -7,@,Tampa Bay Buccaneers,U 37.5,
Sun,Oct 3 1993,4:00,@,Denver Broncos,W 35-13,W -8.5,,Indianapolis Colts,O 36.5,
Sun,Oct 3 1993,4:00,,New Orleans Saints,W 37-6,W -4,@,Los Angeles Rams,O 38,
Sun,Oct 3 1993,4:00,@,New York Jets,L 30-35,L -1,,Philadelphia Eagles,O 40.5,
Sun,Oct 3 1993,4:00,@,San Francisco 49ers,W 38-19,W -9.5,,Minnesota Vikings,O 39,
Sun,Oct 3 1993,4:00,,San Diego Chargers,L 14-31,L -3.5,@,Seattle Seahawks,O 31.5,
Sun,Oct 3 1993,8:00,@,Buffalo Bills,W 17-14,L -6,,New York Giants,U 43,
Mon,Oct 4 1993,9:00,@,Miami Dolphins,W 17-10,W -4,,Washington Redskins,U 41,
