Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 5 1993,1:00,@,Buffalo Bills,W 38-14,W -14,,New England Patriots,O 38.5,
Sun,Sep 5 1993,1:00,@,Cleveland Browns,W 27-14,W -7.5,,Cincinnati Bengals,O 35.5,
Sun,Sep 5 1993,1:00,@,Detroit Lions,W 30-13,W -5,,Atlanta Falcons,U 44,
Sun,Sep 5 1993,1:00,@,Green Bay Packers,W 36-6,W -6.5,,Los Angeles Rams,O 38.5,at Milwaukee
Sun,Sep 5 1993,1:00,,Miami Dolphins,W 24-20,L -6,@,Indianapolis Colts,O 36.5,
Sun,Sep 5 1993,1:00,@,New York Jets,L 20-26,L PK,,Denver Broncos,O 36.5,
Sun,Sep 5 1993,1:00,@,Philadelphia Eagles,W 23-17,L -6.5,,Phoenix Cardinals,O 37.5,
Sun,Sep 5 1993,1:00,,San Francisco 49ers,W 24-13,W -6,@,Pittsburgh Steelers,O 36,
Sun,Sep 5 1993,1:00,,Kansas City Chiefs,W 27-3,W -7,@,Tampa Bay Buccaneers,U 36,
Sun,Sep 5 1993,4:00,@,Chicago Bears,L 20-26,L -1,,New York Giants,O 35,
Sun,Sep 5 1993,4:00,,Minnesota Vikings,L 7-24,L -3,@,Los Angeles Raiders,U 36,
Sun,Sep 5 1993,4:00,@,San Diego Chargers,W 18-12,L -11,,Seattle Seahawks,U 33,
Sun,Sep 5 1993,8:00,@,New Orleans Saints,W 33-21,W -3,,Houston Oilers,O 39,
Mon,Sep 6 1993,9:00,@,Washington Redskins,W 35-16,W -2.5,,Dallas Cowboys,O 40,
