Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Oct 24 1993,1:00,@,Houston Oilers,W 28-12,W -13.5,,Cincinnati Bengals,O 39,
Sun,Oct 24 1993,1:00,@,New Orleans Saints,L 15-26,L -11,,Atlanta Falcons,U 43,
Sun,Oct 24 1993,1:00,,Buffalo Bills,W 19-10,W -3,@,New York Jets,U 41,
Sun,Oct 24 1993,1:00,,Green Bay Packers,W 37-14,W -6,@,Tampa Bay Buccaneers,O 36.5,
Sun,Oct 24 1993,4:00,,Pittsburgh Steelers,L 23-28,L -2,@,Cleveland Browns,O 34.5,
Sun,Oct 24 1993,4:00,,Detroit Lions,W 16-13,W -1,@,Los Angeles Rams,U 37.5,
Sun,Oct 24 1993,4:00,@,San Francisco 49ers,W 28-14,W -10.5,,Phoenix Cardinals,U 42.5,
Sun,Oct 24 1993,4:00,@,Seattle Seahawks,W 10-9,L -8.5,,New England Patriots,U 33,
Sun,Oct 24 1993,7:30,@,Miami Dolphins,W 41-27,W -7.5,,Indianapolis Colts,O 35.5,
Mon,Oct 25 1993,9:00,@,Chicago Bears,L 12-19,L -3,,Minnesota Vikings,U 34,
