Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 19 1993,1:00,@,New England Patriots,L 14-17,L -2.5,,Seattle Seahawks,U 32,
Sun,Sep 19 1993,1:00,@,New Orleans Saints,W 14-3,W -5,,Detroit Lions,U 41,
Sun,Sep 19 1993,1:00,@,New York Giants,W 20-10,W -7,,Los Angeles Rams,U 37,
Sun,Sep 19 1993,1:00,@,Philadelphia Eagles,W 34-31,L -5.5,,Washington Redskins,O 36,
Sun,Sep 19 1993,1:00,@,Pittsburgh Steelers,W 34-7,W -8.5,,Cincinnati Bengals,O 34,
Sun,Sep 19 1993,4:00,@,Los Angeles Raiders,L 16-19,L -3,,Cleveland Browns,P 35,
Sun,Sep 19 1993,4:00,@,San Diego Chargers,W 18-17,L -2.5,,Houston Oilers,U 38,
Sun,Sep 19 1993,4:00,@,San Francisco 49ers,W 37-30,L -13.5,,Atlanta Falcons,O 47,
Sun,Sep 19 1993,8:00,,Dallas Cowboys,W 17-10,W -6.5,@,Phoenix Cardinals,U 38.5,
Mon,Sep 20 1993,9:00,@,Kansas City Chiefs,W 15-7,W -6,,Denver Broncos,U 43,
