Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,Dec 11 1993,12:30,,New York Jets,W 3-0,P -3,@,Washington Redskins,U 34.5,
Sat,Dec 11 1993,4:00,,San Francisco 49ers,L 24-27,L -8,@,Atlanta Falcons,O 48,
Sun,Dec 12 1993,1:00,@,Houston Oilers,W 19-17,L -10,,Cleveland Browns,U 39.5,
Sun,Dec 12 1993,1:00,@,New England Patriots,W 7-2,L -5.5,,Cincinnati Bengals,U 31,
Sun,Dec 12 1993,1:00,@,New Orleans Saints,L 20-23,L -14,,Los Angeles Rams,O 36.5,
Sun,Dec 12 1993,1:00,@,New York Giants,W 20-6,W -11,,Indianapolis Colts,U 33,
Sun,Dec 12 1993,1:00,,Buffalo Bills,W 10-7,L -4,@,Philadelphia Eagles,U 33.5,
Sun,Dec 12 1993,1:00,,Chicago Bears,L 10-13,L -5,@,Tampa Bay Buccaneers,U 34,
Sun,Dec 12 1993,4:00,@,Denver Broncos,W 27-21,W -1,,Kansas City Chiefs,O 37,
Sun,Dec 12 1993,4:00,@,Los Angeles Raiders,W 27-23,L -8.5,,Seattle Seahawks,O 36,
Sun,Dec 12 1993,4:00,,Dallas Cowboys,W 37-20,W -7,@,Minnesota Vikings,O 37,
Sun,Dec 12 1993,4:00,@,Phoenix Cardinals,L 14-21,L -7,,Detroit Lions,P 35,
Sun,Dec 12 1993,8:00,@,San Diego Chargers,L 13-20,L -3,,Green Bay Packers,U 35.5,
Mon,Dec 13 1993,9:00,@,Miami Dolphins,L 20-21,L -3.5,,Pittsburgh Steelers,O 36.5,
