Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,"Nov 11, 1962",,@,Denver Broncos,L 29-33,L -3.5,,Boston Patriots,,
Sun,"Nov 11, 1962",,,Dallas Texans,W 52-31,W -7,@,New York Titans,,
Sun,"Nov 11, 1962",,,Houston Oilers,W 28-20,L -15,@,Oakland Raiders,,
Sun,"Nov 11, 1962",,@,San Diego Chargers,L 20-40,L -2.5,,Buffalo Bills,,
