Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
AFL Championship,Sun,"Dec 23, 1962",,@,Houston Oilers,L 17-20 (2OT),L -6.5,,Dallas Texans,
NFL Championship,Sun,"Dec 30, 1962",,,Green Bay Packers,W 16-7,W -6.5,@,New York Giants,
