NFC Wild Card,Sat,"Jan 5, 2008",4:35,@,Seattle Seahawks (3),W 35-14,W -3.5,,Washington Redskins (6),O 38.5
AFC Wild Card,Sat,"Jan 5, 2008",8:13,,Jacksonville Jaguars (5),W 31-29,L -2.5,@,Pittsburgh Steelers (4),O 40
NFC Wild Card,Sun,"Jan 6, 2008",1:03,@,Tampa Bay Buccaneers (4),L 14-24,L -3,,New York Giants (5),U 39.5
AFC Wild Card,Sun,"Jan 6, 2008",4:30,@,San Diego Chargers (3),W 17-6,W -10,,Tennessee Titans (6),U 39
NFC Divisional,Sat,"Jan 12, 2008",4:33,@,Green Bay Packers (2),W 42-20,W -7.5,,Seattle Seahawks (3),O 44
AFC Divisional,Sat,"Jan 12, 2008",8:15,@,New England Patriots (1),W 31-20,L -13.5,,Jacksonville Jaguars (5),O 50
AFC Divisional,Sun,"Jan 13, 2008",1:06,@,Indianapolis Colts (2),L 24-28,L -11,,San Diego Chargers (3),O 47
NFC Divisional,Sun,"Jan 13, 2008",4:45,@,Dallas Cowboys (1),L 17-21,L -7,,New York Giants (5),U 47.5
AFC Championship,Sun,"Jan 20, 2008",3:05,@,New England Patriots (1),W 21-12,L -14,,San Diego Chargers (3),U 48
NFC Championship,Sun,"Jan 20, 2008",6:42,@,Green Bay Packers (2),L 20-23 (OT),L -7.5,,New York Giants (5),O 41.5
Super Bowl XLII,Sun,"Feb 3, 2008",6:30,N,New England Patriots (1),L 14-17,L -12.5,,New York Giants (5),U 54.5
