Thu,"Oct 26, 2017",8:25,@,Baltimore Ravens,W 40-0,W -3,,Miami Dolphins,O 38,
Sun,"Oct 29, 2017",9:30,N,Minnesota Vikings,W 33-16,W -11,,Cleveland Browns,O 38.5,at London
Sun,"Oct 29, 2017",1:00,@,Buffalo Bills,W 34-14,W -2,,Oakland Raiders,O 47,
Sun,"Oct 29, 2017",1:00,@,Cincinnati Bengals,W 24-23,L -11,,Indianapolis Colts,O 44,
Sun,"Oct 29, 2017",1:00,@,New England Patriots,W 21-13,W -6.5,,Los Angeles Chargers,U 49,
Sun,"Oct 29, 2017",1:00,@,New Orleans Saints,W 20-12,W -7.5,,Chicago Bears,U 46,
Sun,"Oct 29, 2017",1:00,,Atlanta Falcons,W 25-20,L -6.5,@,New York Jets,O 43.5,
Sun,"Oct 29, 2017",1:00,@,Philadelphia Eagles,W 33-10,W -13,,San Francisco 49ers,U 45,
Sun,"Oct 29, 2017",1:00,@,Tampa Bay Buccaneers,L 3-17,L -1.5,,Carolina Panthers,U 46,
Sun,"Oct 29, 2017",4:05,@,Seattle Seahawks,W 41-38,L -6,,Houston Texans,O 45,
Sun,"Oct 29, 2017",4:25,,Dallas Cowboys,W 33-19,W -3,@,Washington Redskins,O 46.5,
Sun,"Oct 29, 2017",8:30,,Pittsburgh Steelers,W 20-15,W -3,@,Detroit Lions,U 44.5,
Mon,"Oct 30, 2017",8:30,@,Kansas City Chiefs,W 29-19,W -7,,Denver Broncos,O 42,
