Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Sep 21 2017,8:25,,Los Angeles Rams,W 41-39,L -3,@,San Francisco 49ers,O 40.5,
Sun,Sep 24 2017,1:00,,Denver Broncos,L 16-26,L -3.5,@,Buffalo Bills,O 40,
Sun,Sep 24 2017,1:00,@,Carolina Panthers,L 13-34,L -5,,New Orleans Saints,O 46.5,
Sun,Sep 24 2017,1:00,,Pittsburgh Steelers,L 17-23 (OT),L -7,@,Chicago Bears,U 43.5,
Sun,Sep 24 2017,1:00,,Atlanta Falcons,W 30-26,W -3,@,Detroit Lions,O 51,
Sun,Sep 24 2017,1:00,,Cleveland Browns,L 28-31,L -1,@,Indianapolis Colts,O 42,
Sun,Sep 24 2017,1:00,@,Minnesota Vikings,W 34-17,W PK,,Tampa Bay Buccaneers,O 41,
Sun,Sep 24 2017,1:00,@,New England Patriots,W 36-33,L -13.5,,Houston Texans,O 44.5,
Sun,Sep 24 2017,1:00,,Miami Dolphins,L 6-20,L -5.5,@,New York Jets,U 43,
Sun,Sep 24 2017,1:00,@,Philadelphia Eagles,W 27-24,L -5,,New York Giants,O 43,
Sun,Sep 24 2017,4:05,@,Tennessee Titans,W 33-27,W -2,,Seattle Seahawks,O 42,
Sun,Sep 24 2017,4:25,@,Green Bay Packers,W 27-24 (OT),L -7,,Cincinnati Bengals,O 47.5,
Sun,Sep 24 2017,4:25,,Kansas City Chiefs,W 24-10,W -3,@,Los Angeles Chargers,U 47.5,
Sun,Sep 24 2017,8:30,,Oakland Raiders,L 10-27,L -3.5,@,Washington Redskins,U 53.5,
Sun,Sep 24 2017,9:30,,Baltimore Ravens,L 7-44,L -3,@,Jacksonville Jaguars,O 38,
Mon,Sep 25 2017,8:30,,Dallas Cowboys,W 28-17,W -3,@,Arizona Cardinals,U 46.5,
