Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Oct 5, 2017",8:25,,New England Patriots,W 19-14,W -3.5,@,Tampa Bay Buccaneers,U 54.5,
Sun,"Oct 8, 2017",1:00,@,Cincinnati Bengals,W 20-16,W -3,,Buffalo Bills,U 39,
Sun,"Oct 8, 2017",1:00,,New York Jets,W 17-14,W -1.5,@,Cleveland Browns,U 41.5,
Sun,"Oct 8, 2017",1:00,@,Detroit Lions,L 24-27,L -2,,Carolina Panthers,O 42,
Sun,"Oct 8, 2017",1:00,@,Indianapolis Colts,W 26-23 (OT),W -1,,San Francisco 49ers,O 43.5,
Sun,"Oct 8, 2017",1:00,@,Miami Dolphins,W 16-10,W PK,,Tennessee Titans,U 41.5,
Sun,"Oct 8, 2017",1:00,@,New York Giants,L 22-27,L -3,,Los Angeles Chargers,O 45.5,
Sun,"Oct 8, 2017",1:00,@,Philadelphia Eagles,W 34-7,W -6,,Arizona Cardinals,U 45,
Sun,"Oct 8, 2017",1:00,@,Pittsburgh Steelers,L 9-30,L -7.5,,Jacksonville Jaguars,U 41,
Sun,"Oct 8, 2017",4:05,@,Los Angeles Rams,L 10-16,L -2,,Seattle Seahawks,U 47,
Sun,"Oct 8, 2017",4:05,@,Oakland Raiders,L 17-30,L -3,,Baltimore Ravens,O 40.5,
Sun,"Oct 8, 2017",4:25,@,Dallas Cowboys,L 31-35,L -2.5,,Green Bay Packers,O 52,
Sun,"Oct 8, 2017",8:30,,Kansas City Chiefs,W 42-34,W -2,@,Houston Texans,O 45,
Mon,"Oct 9, 2017",8:30,,Minnesota Vikings,W 20-17,L -3.5,@,Chicago Bears,U 41,
