Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Oct 8, 2015",8:26,@,Houston Texans,L 20-27,L -2,,Indianapolis Colts,O 44.5,
Sun,"Oct 11, 2015",1:02,@,Atlanta Falcons,W 25-19 (OT),L -7,,Washington Redskins,U 48,
Sun,"Oct 11, 2015",1:02,@,Baltimore Ravens,L 30-33 (OT),L -6,,Cleveland Browns,O 42.5,
Sun,"Oct 11, 2015",1:02,@,Green Bay Packers,W 24-10,W -9,,St Louis Rams,U 45.5,
Sun,"Oct 11, 2015",1:02,@,Kansas City Chiefs,L 17-18,L -9,,Chicago Bears,U 45,
Sun,"Oct 11, 2015",1:02,@,Tampa Bay Buccaneers,W 38-31,W -2.5,,Jacksonville Jaguars,O 41.5,
Sun,"Oct 11, 2015",1:03,@,Cincinnati Bengals,W 27-24 (OT),P -3,,Seattle Seahawks,O 43.5,
Sun,"Oct 11, 2015",1:03,,Buffalo Bills,W 14-13,P -1,@,Tennessee Titans,U 42,
Sun,"Oct 11, 2015",1:04,@,Philadelphia Eagles,W 39-17,W -6,,New Orleans Saints,O 49.5,
Sun,"Oct 11, 2015",4:05,,Arizona Cardinals,W 42-17,W -3,@,Detroit Lions,O 45.5,
Sun,"Oct 11, 2015",4:25,,New England Patriots,W 30-6,W -9,@,Dallas Cowboys,U 49.5,
Sun,"Oct 11, 2015",4:25,,Denver Broncos,W 16-10,W -4,@,Oakland Raiders,U 44,
Sun,"Oct 11, 2015",8:31,@,New York Giants,W 30-27,L -6.5,,San Francisco 49ers,O 43,
Mon,"Oct 12, 2015",8:30,@,San Diego Chargers,L 20-24,L -3.5,,Pittsburgh Steelers,U 46,
