Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Sep 17, 2015",8:29,@,Kansas City Chiefs,L 24-31,L -3,,Denver Broncos,O 42,
Sun,"Sep 20, 2015",1:00,,Arizona Cardinals,W 48-23,W -2,@,Chicago Bears,O 46,
Sun,"Sep 20, 2015",1:02,,New England Patriots,W 40-32,W -1,@,Buffalo Bills,O 44,
Sun,"Sep 20, 2015",1:02,@,Carolina Panthers,W 24-17,W -3,,Houston Texans,O 39.5,
Sun,"Sep 20, 2015",1:02,,Tennessee Titans,L 14-28,L -2,@,Cleveland Browns,O 41,
Sun,"Sep 20, 2015",1:02,@,New Orleans Saints,L 19-26,L -10,,Tampa Bay Buccaneers,U 47.5,
Sun,"Sep 20, 2015",1:02,@,New York Giants,L 20-24,L -2.5,,Atlanta Falcons,U 51,
Sun,"Sep 20, 2015",1:02,@,Pittsburgh Steelers,W 43-18,W -6.5,,San Francisco 49ers,O 45.5,
Sun,"Sep 20, 2015",1:03,@,Cincinnati Bengals,W 24-19,W -3,,San Diego Chargers,U 47,
Sun,"Sep 20, 2015",1:03,@,Minnesota Vikings,W 26-16,W -2,,Detroit Lions,U 43.5,
Sun,"Sep 20, 2015",1:03,,St Louis Rams,L 10-24,L -3,@,Washington Redskins,U 41,
Sun,"Sep 20, 2015",4:05,,Miami Dolphins,L 20-23,L -6,@,Jacksonville Jaguars,O 41.5,
Sun,"Sep 20, 2015",4:05,,Baltimore Ravens,L 33-37,L -6,@,Oakland Raiders,O 43,
Sun,"Sep 20, 2015",4:25,@,Philadelphia Eagles,L 10-20,L -5,,Dallas Cowboys,U 55,
Sun,"Sep 20, 2015",8:25,@,Green Bay Packers,W 27-17,W -3,,Seattle Seahawks,U 49,
Mon,"Sep 21, 2015",8:30,@,Indianapolis Colts,L 7-20,L -7,,New York Jets,U 46.5,
