Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Sep 23 2021,8:20,,Carolina Panthers,W 24-9,W -9,@,Houston Texans,U 43.5,
Sun,Sep 26 2021,1:00,@,Buffalo Bills,W 43-21,W -7,,Washington Football Team,O 45.5,
Sun,Sep 26 2021,1:00,@,Cleveland Browns,W 26-6,W -7.5,,Chicago Bears,U 44.5,
Sun,Sep 26 2021,1:00,,Baltimore Ravens,W 19-17,L -7.5,@,Detroit Lions,U 50.5,
Sun,Sep 26 2021,1:00,,Arizona Cardinals,W 31-19,W -7.5,@,Jacksonville Jaguars,U 51.5,
Sun,Sep 26 2021,1:00,@,Kansas City Chiefs,L 24-30,L -7,,Los Angeles Chargers,U 54.5,
Sun,Sep 26 2021,1:00,@,New England Patriots,L 13-28,L -3,,New Orleans Saints,U 42.5,
Sun,Sep 26 2021,1:00,@,New York Giants,L 14-17,L -3,,Atlanta Falcons,U 47.5,
Sun,Sep 26 2021,1:00,@,Pittsburgh Steelers,L 10-24,L -3,,Cincinnati Bengals,U 43,
Sun,Sep 26 2021,1:00,@,Tennessee Titans,W 25-16,W -5.5,,Indianapolis Colts,U 47.5,
Sun,Sep 26 2021,4:05,@,Denver Broncos,W 26-0,W -10,,New York Jets,U 41.5,
Sun,Sep 26 2021,4:05,@,Las Vegas Raiders,W 31-28 (OT),L -4,,Miami Dolphins,O 44,
Sun,Sep 26 2021,4:25,,Tampa Bay Buccaneers,L 24-34,L -1.5,@,Los Angeles Rams,O 55.5,
Sun,Sep 26 2021,4:25,,Seattle Seahawks,L 17-30,L -2,@,Minnesota Vikings,U 55,
Sun,Sep 26 2021,8:20,@,San Francisco 49ers,L 28-30,L -3,,Green Bay Packers,O 50.5,
Mon,Sep 27 2021,8:15,@,Dallas Cowboys,W 41-21,W -3.5,,Philadelphia Eagles,O 51.5,
