Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 16 2021,8:20,,Kansas City Chiefs,W 34-28 (OT),W -3,@,Los Angeles Chargers,O 52.5,
Sat,Dec 18 2021,8:20,@,Indianapolis Colts,W 27-17,W -2.5,,New England Patriots,U 45.5,
Sun,Dec 19 2021,1:00,,Green Bay Packers,W 31-30,L -9.5,@,Baltimore Ravens,O 45,
Sun,Dec 19 2021,1:00,@,Buffalo Bills,W 31-14,W -14.5,,Carolina Panthers,O 43,
Sun,Dec 19 2021,1:00,,Arizona Cardinals,L 12-30,L -13,@,Detroit Lions,U 48,
Sun,Dec 19 2021,1:00,@,Jacksonville Jaguars,L 16-30,L -6,,Houston Texans,O 40,
Sun,Dec 19 2021,1:00,@,Miami Dolphins,W 31-24,L -10,,New York Jets,O 42,
Sun,Dec 19 2021,1:00,,Dallas Cowboys,W 21-6,W -11.5,@,New York Giants,U 43.5,
Sun,Dec 19 2021,1:00,@,Pittsburgh Steelers,W 19-13,W -1,,Tennessee Titans,U 44,
Sun,Dec 19 2021,4:05,@,Denver Broncos,L 10-15,L -3,,Cincinnati Bengals,U 44,
Sun,Dec 19 2021,4:05,@,San Francisco 49ers,W 31-13,W -8.5,,Atlanta Falcons,U 48,
Sun,Dec 19 2021,8:20,@,Tampa Bay Buccaneers,L 0-9,L -11.5,,New Orleans Saints,U 45.5,
Mon,Dec 20 2021,5:00,@,Cleveland Browns,L 14-16,L -3,,Las Vegas Raiders,U 41,
Mon,Dec 20 2021,8:15,,Minnesota Vikings,W 17-9,W -6.5,@,Chicago Bears,U 44.5,
Tue,Dec 21 2021,7:00,@,Los Angeles Rams,W 20-10,W -7,,Seattle Seahawks,U 46,
Tue,Dec 21 2021,7:00,@,Philadelphia Eagles,W 27-17,W -6.5,,Washington Football Team,O 42,
