Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Oct 28, 2021",8:20,@,Arizona Cardinals,L 21-24,L -6.5,,Green Bay Packers,U 50.5,
Sun,"Oct 31, 2021",1:00,@,Atlanta Falcons,L 13-19,L -3,,Carolina Panthers,U 47,
Sun,"Oct 31, 2021",1:00,@,Buffalo Bills,W 26-11,W -14,,Miami Dolphins,U 49,
Sun,"Oct 31, 2021",1:00,,San Francisco 49ers,W 33-22,W -4,@,Chicago Bears,O 39.5,
Sun,"Oct 31, 2021",1:00,@,Cleveland Browns,L 10-15,L -4.5,,Pittsburgh Steelers,U 43,
Sun,"Oct 31, 2021",1:00,,Philadelphia Eagles,W 44-6,W -3.5,@,Detroit Lions,O 48,
Sun,"Oct 31, 2021",1:00,,Los Angeles Rams,W 38-22,P -16,@,Houston Texans,O 46.5,
Sun,"Oct 31, 2021",1:00,@,Indianapolis Colts,L 31-34 (OT),L -3,,Tennessee Titans,O 51,
Sun,"Oct 31, 2021",1:00,,Cincinnati Bengals,L 31-34,L -11,@,New York Jets,O 43,
Sun,"Oct 31, 2021",4:05,@,Los Angeles Chargers,L 24-27,L -4.5,,New England Patriots,O 49.5,
Sun,"Oct 31, 2021",4:05,@,Seattle Seahawks,W 31-7,W -3.5,,Jacksonville Jaguars,U 44.5,
Sun,"Oct 31, 2021",4:25,@,Denver Broncos,W 17-10,W -3.5,,Washington Commanders,U 45,
Sun,"Oct 31, 2021",4:25,,Tampa Bay Buccaneers,L 27-36,L -4.5,@,New Orleans Saints,O 49,
Sun,"Oct 31, 2021",8:20,@,Minnesota Vikings,L 16-20,L -3,,Dallas Cowboys,U 51.5,
Mon,"Nov 1, 2021",8:15,@,Kansas City Chiefs,W 20-17,L -10,,New York Giants,U 52,
