Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Dec 2 2021,8:20,,Dallas Cowboys,W 27-17,W -5,@,New Orleans Saints,U 47.5,
Sun,Dec 5 2021,1:00,,Tampa Bay Buccaneers,W 30-17,W -10.5,@,Atlanta Falcons,U 50.5,
Sun,Dec 5 2021,1:00,,Arizona Cardinals,W 33-22,W -7.5,@,Chicago Bears,O 42,
Sun,Dec 5 2021,1:00,@,Cincinnati Bengals,L 22-41,L -3,,Los Angeles Chargers,O 49.5,
Sun,Dec 5 2021,1:00,,Minnesota Vikings,L 27-29,L -7,@,Detroit Lions,O 46.5,
Sun,Dec 5 2021,1:00,,Indianapolis Colts,W 31-0,W -10,@,Houston Texans,U 44.5,
Sun,Dec 5 2021,1:00,@,Miami Dolphins,W 20-9,W -6.5,,New York Giants,U 39.5,
Sun,Dec 5 2021,1:00,,Philadelphia Eagles,W 33-18,W -5,@,New York Jets,O 43.5,
Sun,Dec 5 2021,4:00,,San Francisco 49ers,L 23-30,L -3.5,@,Seattle Seahawks,O 45.5,
Sun,Dec 5 2021,4:05,@,Las Vegas Raiders,L 15-17,L -1.5,,Washington Football Team,U 48,
Sun,Dec 5 2021,4:25,@,Los Angeles Rams,W 37-7,W -13,,Jacksonville Jaguars,U 48,
Sun,Dec 5 2021,4:25,,Baltimore Ravens,L 19-20,L -4.5,@,Pittsburgh Steelers,U 44,
Sun,Dec 5 2021,8:20,@,Kansas City Chiefs,W 22-9,W -9.5,,Denver Broncos,U 47,
Mon,Dec 6 2021,8:15,@,Buffalo Bills,L 10-14,L -2.5,,New England Patriots,U 41,
