Thu,"Sep 9, 2021",8:20,@,Tampa Bay Buccaneers,W 31-29,L -8.5,,Dallas Cowboys,O 52,
Sun,"Sep 12, 2021",1:00,@,Atlanta Falcons,L 6-32,L -3.5,,Philadelphia Eagles,U 49,
Sun,"Sep 12, 2021",1:00,@,Buffalo Bills,L 16-23,L -6.5,,Pittsburgh Steelers,U 48.5,
Sun,"Sep 12, 2021",1:00,@,Carolina Panthers,W 19-14,W -4,,New York Jets,U 45,
Sun,"Sep 12, 2021",1:00,,Minnesota Vikings,L 24-27 (OT),L -3,@,Cincinnati Bengals,O 47.5,
Sun,"Sep 12, 2021",1:00,,San Francisco 49ers,W 41-33,L -9,@,Detroit Lions,O 45.5,
Sun,"Sep 12, 2021",1:00,,Jacksonville Jaguars,L 21-37,L -3,@,Houston Texans,O 45,
Sun,"Sep 12, 2021",1:00,,Seattle Seahawks,W 28-16,W -3,@,Indianapolis Colts,U 49,
Sun,"Sep 12, 2021",1:00,@,Tennessee Titans,L 13-38,L -3,,Arizona Cardinals,U 53.5,
Sun,"Sep 12, 2021",1:00,@,Washington Football Team,L 16-20,L -1.5,,Los Angeles Chargers,U 45,
Sun,"Sep 12, 2021",4:25,@,Kansas City Chiefs,W 33-29,L -5.5,,Cleveland Browns,O 54.5,
Sun,"Sep 12, 2021",4:25,@,New England Patriots,L 16-17,L -3,,Miami Dolphins,U 43.5,
Sun,"Sep 12, 2021",4:25,N,Green Bay Packers,L 3-38,L -3.5,,New Orleans Saints,U 49.5,at Jacksonville
Sun,"Sep 12, 2021",4:25,,Denver Broncos,W 27-13,W -3,@,New York Giants,U 41.5,
Sun,"Sep 12, 2021",8:20,@,Los Angeles Rams,W 34-14,W -8,,Chicago Bears,O 46.5,
Mon,"Sep 13, 2021",8:15,,Baltimore Ravens,L 27-33 (OT),L -4,@,Las Vegas Raiders,O 50.5,
