Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 4, 2021",8:20,@,Indianapolis Colts,W 45-30,W -10.5,,New York Jets,O 46,
Sun,"Nov 7, 2021",1:00,@,Baltimore Ravens,W 34-31 (OT),L -6,,Minnesota Vikings,O 50.5,
Sun,"Nov 7, 2021",1:00,,New England Patriots,W 24-6,W -3.5,@,Carolina Panthers,U 41,
Sun,"Nov 7, 2021",1:00,@,Cincinnati Bengals,L 16-41,L -2.5,,Cleveland Browns,O 47.5,
Sun,"Nov 7, 2021",1:00,@,Dallas Cowboys,L 16-30,L -10,,Denver Broncos,U 48.5,
Sun,"Nov 7, 2021",1:00,,Buffalo Bills,L 6-9,L -14.5,@,Jacksonville Jaguars,U 48.5,
Sun,"Nov 7, 2021",1:00,@,Miami Dolphins,W 17-9,W -5.5,,Houston Texans,U 46.5,
Sun,"Nov 7, 2021",1:00,@,New Orleans Saints,L 25-27,L -6,,Atlanta Falcons,O 41.5,
Sun,"Nov 7, 2021",1:00,,Las Vegas Raiders,L 16-23,L -3,@,New York Giants,U 46.5,
Sun,"Nov 7, 2021",4:05,,Los Angeles Chargers,W 27-24,W -1.5,@,Philadelphia Eagles,O 49,
Sun,"Nov 7, 2021",4:25,@,Kansas City Chiefs,W 13-7,L -7.5,,Green Bay Packers,U 48,
Sun,"Nov 7, 2021",4:25,@,San Francisco 49ers,L 17-31,L -3.5,,Arizona Cardinals,O 45,
Sun,"Nov 7, 2021",8:20,@,Los Angeles Rams,L 16-28,L -7.5,,Tennessee Titans,U 52.5,
Mon,"Nov 8, 2021",8:15,@,Pittsburgh Steelers,W 29-27,L -6.5,,Chicago Bears,O 38.5,
