Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Nov 18 1984,1:00,@,Atlanta Falcons,L 7-23,L -3.5,,Cleveland Browns,U 39,
Sun,Nov 18 1984,1:00,,Dallas Cowboys,L 3-14,L -10,@,Buffalo Bills,U 41,
Sun,Nov 18 1984,1:00,@,Chicago Bears,W 16-14,L -7,,Detroit Lions,U 40,
Sun,Nov 18 1984,1:00,,Seattle Seahawks,W 26-6,W -4,@,Cincinnati Bengals,U 44,
Sun,Nov 18 1984,1:00,@,Green Bay Packers,W 31-6,W -2.5,,Los Angeles Rams,U 45,at Milwaukee
Sun,Nov 18 1984,1:00,,New England Patriots,W 50-17,W -6.5,@,Indianapolis Colts,O 43,
Sun,Nov 18 1984,1:00,@,New York Giants,W 16-10,W PK,,St Louis Cardinals,U 43,
Sun,Nov 18 1984,1:00,,Washington Redskins,L 10-16,L -6,@,Philadelphia Eagles,U 43,
Sun,Nov 18 1984,4:00,@,Denver Broncos,W 42-21,W -10,,Minnesota Vikings,O 41,
Sun,Nov 18 1984,4:00,,New York Jets,L 20-31,L -4.5,@,Houston Oilers,O 42,
Sun,Nov 18 1984,4:00,@,Los Angeles Raiders,W 17-7,W -9,,Kansas City Chiefs,U 45,
Sun,Nov 18 1984,4:00,,Miami Dolphins,L 28-34 (OT),L -7,@,San Diego Chargers,O 51,
Sun,Nov 18 1984,4:00,@,San Francisco 49ers,W 24-17,L -12,,Tampa Bay Buccaneers,O 40,
Mon,Nov 19 1984,9:00,,Pittsburgh Steelers,L 24-27,L -1,@,New Orleans Saints,O 40,
