Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 8, 1984",12:30,@,New York Jets,W 21-17,L -6.5,,Buffalo Bills,U 39,
Sat,"Dec 8, 1984",4:00,@,San Francisco 49ers,W 51-7,W -17,,Minnesota Vikings,O 44,
Sun,"Dec 9, 1984",1:00,@,Chicago Bears,L 14-20,L -3.5,,Green Bay Packers,U 37.5,
Sun,"Dec 9, 1984",1:00,,Miami Dolphins,W 35-17,W -12,@,Indianapolis Colts,O 46,
Sun,"Dec 9, 1984",1:00,,Seattle Seahawks,L 7-34,L -4.5,@,Kansas City Chiefs,O 38,
Sun,"Dec 9, 1984",1:00,,Cincinnati Bengals,W 24-21,P -3,@,New Orleans Saints,O 40,
Sun,"Dec 9, 1984",1:00,,New England Patriots,L 17-27,L -3.5,@,Philadelphia Eagles,O 36.5,
Sun,"Dec 9, 1984",1:00,@,Pittsburgh Steelers,W 23-20,L -9,,Cleveland Browns,O 38,
Sun,"Dec 9, 1984",1:00,@,St Louis Cardinals,W 31-21,W -3,,New York Giants,O 40.5,
Sun,"Dec 9, 1984",1:00,@,Tampa Bay Buccaneers,W 23-6,W -7.5,,Atlanta Falcons,U 44,
Sun,"Dec 9, 1984",4:00,@,Dallas Cowboys,L 28-30,L PK,,Washington Commanders,O 42,
Sun,"Dec 9, 1984",4:00,@,Denver Broncos,W 16-13,L -7,,San Diego Chargers,U 43,
Sun,"Dec 9, 1984",4:00,@,Los Angeles Rams,W 27-16,L -11.5,,Houston Oilers,P 43,
Mon,"Dec 10, 1984",8:00,,Los Angeles Raiders,W 24-3,W -6.5,@,Detroit Lions,U 45,
