Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
AFC Wild Card,Sat,"Dec 22, 1984",4:00,,Los Angeles Raiders (5),L 7-13,L -1.5,@,Seattle Seahawks (4),U 40
NFC Wild Card,Sun,"Dec 23, 1984",3:30,@,Los Angeles Rams (4),L 13-16,L -4.5,,New York Giants (5),U 38
AFC Divisional,Sat,"Dec 29, 1984",12:30,@,Miami Dolphins (1),W 31-10,W -5.5,,Seattle Seahawks (4),U 45
NFC Divisional,Sat,"Dec 29, 1984",4:00,@,San Francisco 49ers (1),W 21-10,L -12,,New York Giants (4),U 41
NFC Divisional,Sun,"Dec 30, 1984",12:30,@,Washington Redskins (2),L 19-23,L -9,,Chicago Bears (3),O 38
AFC Divisional,Sun,"Dec 30, 1984",4:00,@,Denver Broncos (2),L 17-24,L -4.5,,Pittsburgh Steelers (3),O 36
AFC Championship,Sun,"Jan 6, 1985",12:30,@,Miami Dolphins (1),W 45-28,W -10,,Pittsburgh Steelers (3),O 44
NFC Championship,Sun,"Jan 6, 1985",4:00,@,San Francisco 49ers (1),W 23-0,W -10,,Chicago Bears (3),U 40
Super Bowl XIX,Sun,"Jan 20, 1985",6:00,N,San Francisco 49ers (1),W 38-16,W -3,,Miami Dolphins (1),O 53.5
