Sat,"Sep 2, 1978",8:00,@,Tampa Bay Buccaneers,L 13-19,L -2,,New York Giants,,
Sun,"Sep 3, 1978",1:00,,Houston Oilers,L 14-20,L -3.5,@,Atlanta Falcons,,
Sun,"Sep 3, 1978",1:00,,Pittsburgh Steelers,W 28-17,W -10.5,@,Buffalo Bills,,
Sun,"Sep 3, 1978",1:00,@,Cincinnati Bengals,L 23-24,L -8,,Kansas City Chiefs,,
Sun,"Sep 3, 1978",1:00,@,Cleveland Browns,W 24-7,W -4.5,,San Francisco 49ers,,
Sun,"Sep 3, 1978",1:00,@,Detroit Lions,L 7-13,L -8,,Green Bay Packers,,
Sun,"Sep 3, 1978",1:00,@,New England Patriots,L 14-16,L -9.5,,Washington Redskins,,
Sun,"Sep 3, 1978",1:00,,Minnesota Vikings,L 24-31,L -6.5,@,New Orleans Saints,,
Sun,"Sep 3, 1978",1:00,,Miami Dolphins,L 20-33,L -4,@,New York Jets,,
Sun,"Sep 3, 1978",1:00,,Los Angeles Rams,W 16-14,L -6,@,Philadelphia Eagles,,
Sun,"Sep 3, 1978",2:00,@,Chicago Bears,W 17-10,W -3.5,,St Louis Cardinals,,
Sun,"Sep 3, 1978",4:00,,Oakland Raiders,L 6-14,L -4,@,Denver Broncos,,
Sun,"Sep 3, 1978",4:00,,San Diego Chargers,W 24-20,L -6,@,Seattle Seahawks,,
Mon,"Sep 4, 1978",9:00,@,Dallas Cowboys,W 38-0,W -10.5,,Baltimore Colts,,
