Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,Sep 9 1978,8:00,,Detroit Lions,W 15-7,W -1,@,Tampa Bay Buccaneers,,
Sun,Sep 10 1978,1:00,,New Orleans Saints,L 17-28,L -1.5,@,Green Bay Packers,,at Milwaukee
Sun,Sep 10 1978,1:00,,Dallas Cowboys,W 34-24,L -11,@,New York Giants,,
Sun,Sep 10 1978,1:00,@,Pittsburgh Steelers,W 21-10,L -13.5,,Seattle Seahawks,,
Sun,Sep 10 1978,1:00,@,Washington Redskins,W 35-30,W -3.5,,Philadelphia Eagles,,
Sun,Sep 10 1978,2:00,@,Cleveland Browns,W 13-10 (OT),L -5.5,,Cincinnati Bengals,,
Sun,Sep 10 1978,2:00,,Houston Oilers,W 20-17,L -4.5,@,Kansas City Chiefs,,
Sun,Sep 10 1978,2:00,,New England Patriots,W 16-6,W -6.5,@,St Louis Cardinals,,
Sun,Sep 10 1978,4:00,,Miami Dolphins,W 42-0,W -3,@,Baltimore Colts,,
Sun,Sep 10 1978,4:00,,New York Jets,W 21-20,L -5,@,Buffalo Bills,,
Sun,Sep 10 1978,4:00,@,Los Angeles Rams,W 10-0,P -10,,Atlanta Falcons,,
Sun,Sep 10 1978,4:00,,Oakland Raiders,W 21-20,L -5.5,@,San Diego Chargers,,
Sun,Sep 10 1978,4:00,,Chicago Bears,W 16-13,W -2.5,@,San Francisco 49ers,,
Mon,Sep 11 1978,9:00,@,Minnesota Vikings,W 12-9 (OT),W PK,,Denver Broncos,U 33,
