Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sat,"Dec 16, 1989",12:30,@,New York Giants,W 15-0,W -12,,Dallas Cowboys,U 35,
Sat,"Dec 16, 1989",4:00,,Denver Broncos,W 37-0,W -7,@,Phoenix Cardinals,U 38.5,
Sun,"Dec 17, 1989",1:00,@,Chicago Bears,L 28-40,L -2,,Green Bay Packers,O 35,
Sun,"Dec 17, 1989",1:00,@,Cincinnati Bengals,W 61-7,W -3.5,,Houston Oilers,O 40,
Sun,"Dec 17, 1989",1:00,,Minnesota Vikings,L 17-23 (OT),L -1.5,@,Cleveland Browns,O 34,
Sun,"Dec 17, 1989",1:00,@,Detroit Lions,W 33-7,W -3,,Tampa Bay Buccaneers,U 40.5,
Sun,"Dec 17, 1989",1:00,,Miami Dolphins,L 13-42,L -1,@,Indianapolis Colts,O 40.5,
Sun,"Dec 17, 1989",1:00,@,Kansas City Chiefs,L 13-20,L -8,,San Diego Chargers,U 35,
Sun,"Dec 17, 1989",1:00,@,Pittsburgh Steelers,W 28-10,W -3,,New England Patriots,O 35,
Sun,"Dec 17, 1989",4:00,,Washington Redskins,W 31-30,L -7,@,Atlanta Falcons,O 42.5,
Sun,"Dec 17, 1989",4:00,@,Los Angeles Rams,W 38-14,W -13,,New York Jets,O 43,
Sun,"Dec 17, 1989",4:00,@,San Francisco 49ers,W 21-10,W -6,,Buffalo Bills,U 43,
Sun,"Dec 17, 1989",8:00,,Los Angeles Raiders,L 17-23,L -1,@,Seattle Seahawks,O 38,
Mon,"Dec 18, 1989",9:00,,Philadelphia Eagles,L 20-30,L -1.5,@,New Orleans Saints,O 39,
