Sun,"Nov 5, 1972",1:00,,Miami Dolphins,W 30-16,W -10,@,Buffalo Bills,,
Sun,"Nov 5, 1972",1:00,@,Cleveland Browns,W 20-0,W -10,,Houston Oilers,,
Sun,"Nov 5, 1972",1:00,@,Detroit Lions,W 14-0,W -5.5,,Chicago Bears,,
Sun,"Nov 5, 1972",1:00,@,New York Giants,W 29-17,W -7,,Denver Broncos,,
Sun,"Nov 5, 1972",1:00,,Washington Redskins,W 35-17,W -7,@,New York Jets,,
Sun,"Nov 5, 1972",1:00,,St Louis Cardinals,T 6-6,L -4,@,Philadelphia Eagles,,
Sun,"Nov 5, 1972",1:00,@,Pittsburgh Steelers,W 40-17,W -2,,Cincinnati Bengals,,
Sun,"Nov 5, 1972",2:00,,San Francisco 49ers,L 24-34,L -1,@,Green Bay Packers,,at Milwaukee
Sun,"Nov 5, 1972",2:00,@,Minnesota Vikings,W 37-6,W -16,,New Orleans Saints,,
Sun,"Nov 5, 1972",4:00,@,Kansas City Chiefs,W 27-14,W -1.5,,Oakland Raiders,,
Sun,"Nov 5, 1972",4:00,@,Los Angeles Rams,W 20-7,W -2.5,,Atlanta Falcons,,
Sun,"Nov 5, 1972",4:00,,Dallas Cowboys,W 34-28,L -7.5,@,San Diego Chargers,,
Mon,"Nov 6, 1972",9:00,,Baltimore Colts,W 24-17,P -7,@,New England Patriots,,
