Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Nov 12, 1972",1:00,@,Atlanta Falcons,W 36-20,W -14,,New Orleans Saints,,
Sun,"Nov 12, 1972",1:00,,Oakland Raiders,W 20-14,W -1,@,Cincinnati Bengals,,
Sun,"Nov 12, 1972",1:00,@,Miami Dolphins,W 52-0,W -18,,New England Patriots,,
Sun,"Nov 12, 1972",1:00,@,New York Jets,W 41-3,W -11,,Buffalo Bills,,
Sun,"Nov 12, 1972",1:00,@,Pittsburgh Steelers,W 16-7,W PK,,Kansas City Chiefs,,
Sun,"Nov 12, 1972",1:00,@,Washington Redskins,W 27-13,W -9.5,,New York Giants,,
Sun,"Nov 12, 1972",2:00,,Green Bay Packers,W 23-17,W -3,@,Chicago Bears,,
Sun,"Nov 12, 1972",2:00,@,Dallas Cowboys,W 33-24,L -17,,St Louis Cardinals,,
Sun,"Nov 12, 1972",2:00,@,Houston Oilers,L 17-18,L -4,,Philadelphia Eagles,,
Sun,"Nov 12, 1972",4:00,@,Los Angeles Rams,L 10-16,L -10,,Denver Broncos,,
Sun,"Nov 12, 1972",4:00,@,Minnesota Vikings,W 16-14,L -7,,Detroit Lions,,
Sun,"Nov 12, 1972",4:00,@,San Francisco 49ers,W 24-21,L -7,,Baltimore Colts,,
Mon,"Nov 13, 1972",9:00,@,San Diego Chargers,L 17-21,L -4,,Cleveland Browns,,
