Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 8, 1972",1:00,,Detroit Lions,W 26-23,W -1,@,Atlanta Falcons,,
Sun,"Oct 8, 1972",1:00,,New England Patriots,L 14-38,L -4,@,Buffalo Bills,,
Sun,"Oct 8, 1972",1:00,@,Cincinnati Bengals,W 21-10,W -9,,Denver Broncos,,
Sun,"Oct 8, 1972",1:00,,Kansas City Chiefs,W 31-7,W -7,@,Cleveland Browns,,
Sun,"Oct 8, 1972",1:00,@,New York Giants,W 45-21,W -10.5,,New Orleans Saints,,
Sun,"Oct 8, 1972",1:00,,Miami Dolphins,W 27-17,W -5,@,New York Jets,,
Sun,"Oct 8, 1972",1:00,@,Washington Redskins,W 14-0,L -16,,Philadelphia Eagles,,
Sun,"Oct 8, 1972",2:00,@,Baltimore Colts,L 20-23,L -5.5,,San Diego Chargers,,
Sun,"Oct 8, 1972",2:00,@,Dallas Cowboys,W 17-13,L -7,,Pittsburgh Steelers,,
Sun,"Oct 8, 1972",2:00,@,Green Bay Packers,W 20-17,L -9.5,,Chicago Bears,,
Sun,"Oct 8, 1972",2:00,@,Minnesota Vikings,L 17-19,L -14,,St Louis Cardinals,,
Sun,"Oct 8, 1972",4:00,,San Francisco 49ers,L 7-31,L -4.5,@,Los Angeles Rams,,
Mon,"Oct 9, 1972",9:00,,Oakland Raiders,W 34-0,W -9,@,Houston Oilers,,
