Sun,"Oct 22, 1972",1:00,@,Detroit Lions,W 34-20,W -6.5,,San Diego Chargers,,
Sun,"Oct 22, 1972",1:00,@,Miami Dolphins,W 24-23,L -13,,Buffalo Bills,,
Sun,"Oct 22, 1972",1:00,@,New York Giants,W 27-21,L -9,,St Louis Cardinals,,
Sun,"Oct 22, 1972",1:00,@,New York Jets,W 24-20,L -8.5,,Baltimore Colts,,
Sun,"Oct 22, 1972",1:00,@,Pittsburgh Steelers,W 33-3,W -13.5,,New England Patriots,,
Sun,"Oct 22, 1972",2:00,@,Green Bay Packers,L 9-10,L -2.5,,Atlanta Falcons,,at Milwaukee
Sun,"Oct 22, 1972",2:00,,Cleveland Browns,W 23-17,W -2.5,@,Houston Oilers,,
Sun,"Oct 22, 1972",2:00,@,Kansas City Chiefs,L 20-21,L -17,,Philadelphia Eagles,,
Sun,"Oct 22, 1972",4:00,@,Los Angeles Rams,W 15-12,L -6.5,,Cincinnati Bengals,,
Sun,"Oct 22, 1972",4:00,@,Oakland Raiders,L 23-30,L -10,,Denver Broncos,,
Sun,"Oct 22, 1972",4:00,@,San Francisco 49ers,T 20-20,L -12.5,,New Orleans Saints,,
Sun,"Oct 22, 1972",4:00,@,Washington Redskins,W 24-20,W -2,,Dallas Cowboys,,
Mon,"Oct 23, 1972",9:00,,Minnesota Vikings,L 10-13,L -7.5,@,Chicago Bears,,
