Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sat,"Dec 16, 1972",1:00,@,Miami Dolphins,W 16-0,W -10.5,,Baltimore Colts,,
Sat,"Dec 16, 1972",4:00,@,San Francisco 49ers,W 20-17,L -6,,Minnesota Vikings,,
Sun,"Dec 17, 1972",1:00,@,Atlanta Falcons,L 14-17,L -3,,Kansas City Chiefs,,
Sun,"Dec 17, 1972",1:00,,Cleveland Browns,W 26-10,W -3,@,New York Jets,,
Sun,"Dec 17, 1972",1:00,@,Washington Redskins,L 17-24,L -9,,Buffalo Bills,,
Sun,"Dec 17, 1972",2:00,,Cincinnati Bengals,W 61-17,W -9,@,Houston Oilers,,
Sun,"Dec 17, 1972",2:00,,Green Bay Packers,W 30-20,W -8,@,New Orleans Saints,,
Sun,"Dec 17, 1972",2:00,@,St Louis Cardinals,W 24-23,L -9,,Philadelphia Eagles,,
Sun,"Dec 17, 1972",4:00,@,Dallas Cowboys,L 3-23,L -7,,New York Giants,,
Sun,"Dec 17, 1972",4:00,@,Denver Broncos,W 45-21,W -10,,New England Patriots,,
Sun,"Dec 17, 1972",4:00,@,Los Angeles Rams,L 17-34,L -3,,Detroit Lions,,
Sun,"Dec 17, 1972",4:00,@,Oakland Raiders,W 28-21,L -10.5,,Chicago Bears,,
Sun,"Dec 17, 1972",4:00,,Pittsburgh Steelers,W 24-2,W -4,@,San Diego Chargers,,
