Day,Date,Time(ET),At,Favorite,Score,Spread,At,Underdog,Over/Under
Sun,"Oct 1, 1972",1:00,,Los Angeles Rams,L 3-31,L -4,@,Atlanta Falcons,,
Sun,"Oct 1, 1972",1:00,,Baltimore Colts,W 17-0,W -8,@,Buffalo Bills,,
Sun,"Oct 1, 1972",1:00,,Cincinnati Bengals,L 6-27,L -4,@,Cleveland Browns,,
Sun,"Oct 1, 1972",1:00,,Washington Redskins,L 23-24,L -10,@,New England Patriots,,
Sun,"Oct 1, 1972",2:00,,Detroit Lions,W 38-24,W -10.5,@,Chicago Bears,,
Sun,"Oct 1, 1972",2:00,,Dallas Cowboys,L 13-16,L -7,@,Green Bay Packers,,at Milwaukee
Sun,"Oct 1, 1972",2:00,,New York Jets,L 20-26,L -12,@,Houston Oilers,,
Sun,"Oct 1, 1972",2:00,,San Francisco 49ers,W 37-2,W -13.5,@,New Orleans Saints,,
Sun,"Oct 1, 1972",2:00,,Pittsburgh Steelers,W 25-19,W -4,@,St Louis Cardinals,,
Sun,"Oct 1, 1972",4:00,,Kansas City Chiefs,W 45-24,W -8,@,Denver Broncos,,
Sun,"Oct 1, 1972",4:00,@,Minnesota Vikings,L 14-16,L -4,,Miami Dolphins,,
Sun,"Oct 1, 1972",4:00,@,Oakland Raiders,T 17-17,L -4,,San Diego Chargers,,
Mon,"Oct 2, 1972",9:00,,New York Giants,W 27-12,W -7,@,Philadelphia Eagles,,
