Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
NFL Championship,Mon,Dec 26 1960,,,Green Bay Packers,L 13-17,L -2.5,@,Philadelphia Eagles,
AFL Championship,Sun,Jan 1 1961,,@,Houston Oilers,W 24-16,W -5,,Los Angeles Chargers,
