Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 23, 1960",,@,Cleveland Browns,L 29-31,L -10,,Philadelphia Eagles,,
Sun,"Oct 23, 1960",,,Baltimore Colts,L 17-30,L -14,@,Detroit Lions,,
Sun,"Oct 23, 1960",,@,Green Bay Packers,W 41-14,W -9.5,,San Francisco 49ers,,at Milwaukee
Sun,"Oct 23, 1960",,,Chicago Bears,T 24-24,L -6,@,Los Angeles Rams,,
Sun,"Oct 23, 1960",,@,St Louis Cardinals,W 12-10,L -10.5,,Dallas Cowboys,,
Sun,"Oct 23, 1960",,@,Washington Redskins,T 27-27,P PK,,Pittsburgh Steelers,,
