Fri,"Nov 11, 1960",,@,Boston Patriots,W 38-21,N/A,,New York Titans,,
Sun,"Nov 13, 1960",,@,Dallas Texans,W 34-7,W -7.5,,Denver Broncos,,
Sun,"Nov 13, 1960",,@,Los Angeles Chargers,W 24-21,W PK,,Houston Oilers,,
Sun,"Nov 13, 1960",,@,Oakland Raiders,W 20-7,W -4,,Buffalo Bills,,
