Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 16, 1960",,,New York Titans,W 17-13,W -3.5,@,Buffalo Bills,,
Sun,"Oct 16, 1960",,@,Denver Broncos,L 19-23,L -6.5,,Los Angeles Chargers,,
Sun,"Oct 16, 1960",,@,Houston Oilers,W 20-10,W -3.5,,Dallas Texans,,
Sun,"Oct 16, 1960",,@,Oakland Raiders,W 27-14,W -1,,Boston Patriots,,
