Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 2, 1960",,@,Buffalo Bills,L 10-24,L -2.5,,Los Angeles Chargers,,
Sun,"Oct 2, 1960",,@,Dallas Texans,L 35-37,L -13,,New York Titans,,
Sun,"Oct 2, 1960",,@,Denver Broncos,W 31-14,W -7,,Oakland Raiders,,
