Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
NFC Wild Card,Sat,"Jan 8, 2011",4:35,,New Orleans Saints (5),L 36-41,L -10,@,Seattle Seahawks (4),O 46
AFC Wild Card,Sat,"Jan 8, 2011",8:15,@,Indianapolis Colts (3),L 16-17,L -2.5,,New York Jets (6),U 44.5
AFC Wild Card,Sun,"Jan 9, 2011",1:06,,Baltimore Ravens (5),W 30-7,W -3,@,Kansas City Chiefs (4),U 40.5
NFC Wild Card,Sun,"Jan 9, 2011",4:40,@,Philadelphia Eagles (3),L 16-21,L -2.5,,Green Bay Packers (6),U 47
AFC Divisional,Sat,"Jan 15, 2011",4:35,@,Pittsburgh Steelers (2),W 31-24,W -3,,Baltimore Ravens (5),O 37
NFC Divisional,Sat,"Jan 15, 2011",8:15,@,Atlanta Falcons (1),L 21-48,L -1.5,,Green Bay Packers (6),O 43.5
NFC Divisional,Sun,"Jan 16, 2011",1:05,@,Chicago Bears (2),W 35-24,W -10,,Seattle Seahawks (4),O 43
AFC Divisional,Sun,"Jan 16, 2011",4:40,@,New England Patriots (1),L 21-28,L -9.5,,New York Jets (6),O 45
NFC Championship,Sun,"Jan 23, 2011",3:05,,Green Bay Packers (6),W 21-14,W -3.5,@,Chicago Bears (2),U 42.5
AFC Championship,Sun,"Jan 23, 2011",6:41,@,Pittsburgh Steelers (2),W 24-19,W -4,,New York Jets (6),O 38
Super Bowl XLV,Sun,"Feb 6, 2011",6:34,N,Green Bay Packers (6),W 31-25,W -3,,Pittsburgh Steelers (2),O 45
