Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Sep 12, 2019",8:20,@,Carolina Panthers,L 14-20,L -6.5,,Tampa Bay Buccaneers,U 48,
Sun,"Sep 15, 2019",1:00,@,Baltimore Ravens,W 23-17,L -13,,Arizona Cardinals,U 46,
Sun,"Sep 15, 2019",1:00,@,Cincinnati Bengals,L 17-41,L -1,,San Francisco 49ers,O 46,
Sun,"Sep 15, 2019",1:00,,Los Angeles Chargers,L 10-13,L -1,@,Detroit Lions,U 47,
Sun,"Sep 15, 2019",1:00,@,Green Bay Packers,W 21-16,W -3,,Minnesota Vikings,U 43,
Sun,"Sep 15, 2019",1:00,@,Houston Texans,W 13-12,L -7.5,,Jacksonville Jaguars,U 43,
Sun,"Sep 15, 2019",1:00,,New England Patriots,W 43-0,W -18,@,Miami Dolphins,U 48.5,
Sun,"Sep 15, 2019",1:00,,Buffalo Bills,W 28-14,W -1,@,New York Giants,U 44.5,
Sun,"Sep 15, 2019",1:00,@,Pittsburgh Steelers,L 26-28,L -4,,Seattle Seahawks,O 47,
Sun,"Sep 15, 2019",1:00,@,Tennessee Titans,L 17-19,L -3,,Indianapolis Colts,U 43.5,
Sun,"Sep 15, 2019",1:00,,Dallas Cowboys,W 31-21,W -6,@,Washington Redskins,O 46.5,
Sun,"Sep 15, 2019",4:05,,Kansas City Chiefs,W 28-10,W -7,@,Oakland Raiders,U 53.5,
Sun,"Sep 15, 2019",4:25,,Chicago Bears,W 16-14,L -3,@,Denver Broncos,U 41,
Sun,"Sep 15, 2019",4:25,@,Los Angeles Rams,W 27-9,W -2,,New Orleans Saints,U 52.5,
Sun,"Sep 15, 2019",8:20,,Philadelphia Eagles,L 20-24,L -1,@,Atlanta Falcons,U 53,
Mon,"Sep 16, 2019",8:15,,Cleveland Browns,W 23-3,W -6.5,@,New York Jets,U 45.5,
