Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFC Wild Card,Sat,"Jan 4, 2020",4:35,@,Houston Texans (4),W 22-19 (OT),W -2.5,,Buffalo Bills (5),U 43
AFC Wild Card,Sat,"Jan 4, 2020",8:15,@,New England Patriots (3),L 13-20,L -4.5,,Tennessee Titans (6),U 45
NFC Wild Card,Sun,"Jan 5, 2020",1:05,@,New Orleans Saints (3),L 20-26 (OT),L -7.5,,Minnesota Vikings (6),U 50
NFC Wild Card,Sun,"Jan 5, 2020",4:40,@,Philadelphia Eagles (4),L 9-17,L -1,,Seattle Seahawks (5),U 44
NFC Divisional,Sat,"Jan 11, 2020",4:35,@,San Francisco 49ers (1),W 27-10,W -7,,Minnesota Vikings (6),U 44.5
AFC Divisional,Sat,"Jan 11, 2020",8:15,@,Baltimore Ravens (1),L 12-28,L -10,,Tennessee Titans (6),U 47.5
AFC Divisional,Sun,"Jan 12, 2020",3:05,@,Kansas City Chiefs (2),W 51-31,W -10,,Houston Texans (4),O 50.5
NFC Divisional,Sun,"Jan 12, 2020",6:40,@,Green Bay Packers (2),W 28-23,W -4.5,,Seattle Seahawks (5),O 46
AFC Championship,Sun,"Jan 19, 2020",3:05,@,Kansas City Chiefs (2),W 35-24,W -7.5,,Tennessee Titans (6),O 51
NFC Championship,Sun,"Jan 19, 2020",6:40,@,San Francisco 49ers (1),W 37-20,W -8,,Green Bay Packers (2),O 46.5
Super Bowl LIV,Sun,"Feb 2, 2020",6:30,N,Kansas City Chiefs (2),W 31-20,W -1.5,,San Francisco 49ers (1),U 52.5
