Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Oct 3 2019,8:20,@,Seattle Seahawks,W 30-29,L -1.5,,Los Angeles Rams,O 49,
Sun,Oct 6 2019,1:00,@,Carolina Panthers,W 34-27,W -3,,Jacksonville Jaguars,O 41,
Sun,Oct 6 2019,1:00,@,Cincinnati Bengals,L 23-26,L -3,,Arizona Cardinals,O 45,
Sun,Oct 6 2019,1:00,@,Houston Texans,W 53-32,W -4,,Atlanta Falcons,O 49,
Sun,Oct 6 2019,1:00,@,New Orleans Saints,W 31-24,W -3,,Tampa Bay Buccaneers,O 46,
Sun,Oct 6 2019,1:00,,Minnesota Vikings,W 28-10,W -5.5,@,New York Giants,U 44,
Sun,Oct 6 2019,1:00,N,Chicago Bears,L 21-24,L -6.5,,Oakland Raiders,O 39.5,at London
Sun,Oct 6 2019,1:00,@,Philadelphia Eagles,W 31-6,W -14,,New York Jets,U 43,
Sun,Oct 6 2019,1:00,,Baltimore Ravens,W 26-23 (OT),L -3.5,@,Pittsburgh Steelers,O 44,
Sun,Oct 6 2019,1:00,@,Tennessee Titans,L 7-14,L -3.5,,Buffalo Bills,U 39.5,
Sun,Oct 6 2019,1:00,,New England Patriots,W 33-7,W -15.5,@,Washington Redskins,U 42,
Sun,Oct 6 2019,4:05,@,Los Angeles Chargers,L 13-20,L -4,,Denver Broncos,U 46,
Sun,Oct 6 2019,4:25,@,Dallas Cowboys,L 24-34,L -3.5,,Green Bay Packers,O 46.5,
Sun,Oct 6 2019,8:20,@,Kansas City Chiefs,L 13-19,L -10.5,,Indianapolis Colts,U 55.5,
Mon,Oct 7 2019,8:15,@,San Francisco 49ers,W 31-3,W -5,,Cleveland Browns,U 47.5,
