Round,Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
AFC Wild Card,Sat,"Jan 5, 2013",4:35,@,Houston Texans (3),W 19-13,W -4,,Cincinnati Bengals (6),U 42.5
NFC Wild Card,Sat,"Jan 5, 2013",8:09,@,Green Bay Packers (3),W 24-10,W -11,,Minnesota Vikings (6),U 44.5
AFC Wild Card,Sun,"Jan 6, 2013",1:07,@,Baltimore Ravens (4),W 24-9,W -7,,Indianapolis Colts (5),U 47
NFC Wild Card,Sun,"Jan 6, 2013",4:40,,Seattle Seahawks (5),W 24-14,W -3,@,Washington Commanders (4),U 45
AFC Divisional,Sat,"Jan 12, 2013",4:36,@,Denver Broncos (1),L 35-38 (2OT),L -9,,Baltimore Ravens (4),O 44.5
NFC Divisional,Sat,"Jan 12, 2013",8:25,@,San Francisco 49ers (2),W 45-31,W -3,,Green Bay Packers (3),O 45.5
NFC Divisional,Sun,"Jan 13, 2013",1:05,@,Atlanta Falcons (1),W 30-28,L -3,,Seattle Seahawks (5),O 47
AFC Divisional,Sun,"Jan 13, 2013",4:40,@,New England Patriots (2),W 41-28,W -9.5,,Houston Texans (3),O 51
NFC Championship,Sun,"Jan 20, 2013",3:05,,San Francisco 49ers (2),W 28-24,W -3.5,@,Atlanta Falcons (1),O 49
AFC Championship,Sun,"Jan 20, 2013",6:40,@,New England Patriots (2),L 13-28,L -7.5,,Baltimore Ravens (4),U 51.5
Super Bowl XLVII,Sun,"Feb 3, 2013",6:31,N,San Francisco 49ers (2),L 31-34,L -4.5,,Baltimore Ravens (4),O 47.5
