Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 22, 2012",12:39,,Houston Texans,W 34-31 (OT),L -4,@,Detroit Lions,O 49,
Thu,"Nov 22, 2012",4:41,@,Dallas Cowboys,L 31-38,L -3.5,,Washington Redskins,O 47.5,
Thu,"Nov 22, 2012",8:31,,New England Patriots,W 49-19,W -7,@,New York Jets,O 48.5,
Sun,"Nov 25, 2012",1:00,@,Chicago Bears,W 28-10,W -6.5,,Minnesota Vikings,U 39,
Sun,"Nov 25, 2012",1:02,@,Cincinnati Bengals,W 34-10,W -8,,Oakland Raiders,U 51,
Sun,"Nov 25, 2012",1:02,,Pittsburgh Steelers,L 14-20,L -2,@,Cleveland Browns,O 33.5,
Sun,"Nov 25, 2012",1:02,,Atlanta Falcons,W 24-23,L -1.5,@,Tampa Bay Buccaneers,U 51.5,
Sun,"Nov 25, 2012",1:03,@,Indianapolis Colts,W 20-13,W -3,,Buffalo Bills,U 51.5,
Sun,"Nov 25, 2012",1:03,,Tennessee Titans,L 19-24,L -3.5,@,Jacksonville Jaguars,U 45,
Sun,"Nov 25, 2012",1:03,,Denver Broncos,W 17-9,L -10.5,@,Kansas City Chiefs,U 42.5,
Sun,"Nov 25, 2012",1:03,,Seattle Seahawks,L 21-24,L -3,@,Miami Dolphins,O 38,
Sun,"Nov 25, 2012",4:05,,Baltimore Ravens,W 16-13 (OT),W -1,@,San Diego Chargers,U 47,
Sun,"Nov 25, 2012",4:25,@,Arizona Cardinals,L 17-31,L -1,,St Louis Rams,O 36.5,
Sun,"Nov 25, 2012",4:25,,San Francisco 49ers,W 31-21,W -1.5,@,New Orleans Saints,O 50,
Sun,"Nov 25, 2012",8:30,@,New York Giants,W 38-10,W -2.5,,Green Bay Packers,U 51.5,
Mon,"Nov 26, 2012",8:32,,Carolina Panthers,W 30-22,W -3,@,Philadelphia Eagles,O 42,
