Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Sun,Sep 30 1990,1:00,@,Buffalo Bills,W 29-28,L -3,,Denver Broncos,O 41,
Sun,Sep 30 1990,1:00,@,Detroit Lions,L 21-24,L -2.5,,Green Bay Packers,U 46,
Sun,Sep 30 1990,1:00,@,Minnesota Vikings,L 20-23 (OT),L -8,,Tampa Bay Buccaneers,O 40,
Sun,Sep 30 1990,1:00,@,New York Giants,W 31-17,W -13.5,,Dallas Cowboys,O 36,
Sun,Sep 30 1990,1:00,@,Philadelphia Eagles,L 23-24,L -13,,Indianapolis Colts,O 37,
Sun,Sep 30 1990,1:00,,Miami Dolphins,W 28-6,W -2,@,Pittsburgh Steelers,U 36,
Sun,Sep 30 1990,4:00,@,Kansas City Chiefs,W 34-0,W -6.5,,Cleveland Browns,U 36,
Sun,Sep 30 1990,4:00,@,Los Angeles Raiders,W 24-10,W -1.5,,Chicago Bears,P 34,
Sun,Sep 30 1990,4:00,@,New England Patriots,L 13-37,L PK,,New York Jets,O 40,
Sun,Sep 30 1990,4:00,@,San Diego Chargers,L 7-17,L -2.5,,Houston Oilers,U 40,
Sun,Sep 30 1990,8:00,,Washington Redskins,W 38-10,W -6.5,@,Phoenix Cardinals,O 37,
Mon,Oct 1 1990,9:00,,Cincinnati Bengals,L 16-31,L -2.5,@,Seattle Seahawks,O 43,
