Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under
Thu,Nov 22 1990,12:30,@,Detroit Lions,W 40-27,W -1,,Denver Broncos,O 45,
Thu,Nov 22 1990,4:00,,Washington Redskins,L 17-27,L -5.5,@,Dallas Cowboys,O 39,
Sun,Nov 25 1990,1:00,@,Cincinnati Bengals,L 20-34,L -11.5,,Indianapolis Colts,O 41,
Sun,Nov 25 1990,1:00,,Miami Dolphins,W 30-13,W -5,@,Cleveland Browns,O 36,
Sun,Nov 25 1990,1:00,@,Green Bay Packers,W 20-10,W -7.5,,Tampa Bay Buccaneers,U 39,at Milwaukee
Sun,Nov 25 1990,1:00,,Chicago Bears,L 13-41,L -2.5,@,Minnesota Vikings,O 38,
Sun,Nov 25 1990,1:00,@,New Orleans Saints,W 10-7,L -4.5,,Atlanta Falcons,U 43,
Sun,Nov 25 1990,1:00,,New York Giants,L 13-31,L -3,@,Philadelphia Eagles,O 37,
Sun,Nov 25 1990,4:00,@,Los Angeles Raiders,L 24-27,L -4,,Kansas City Chiefs,O 36,
Sun,Nov 25 1990,4:00,,Pittsburgh Steelers,W 24-7,W -3.5,@,New York Jets,U 37,
Sun,Nov 25 1990,4:00,@,Phoenix Cardinals,W 34-14,W -5,,New England Patriots,O 38,
Sun,Nov 25 1990,4:00,@,San Francisco 49ers,L 17-28,L -11.5,,Los Angeles Rams,U 47,
Sun,Nov 25 1990,8:00,@,San Diego Chargers,L 10-13 (OT),L -3.5,,Seattle Seahawks,U 37,
Mon,Nov 26 1990,9:00,@,Houston Oilers,W 27-24,P -3,,Buffalo Bills,O 47,
