Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Oct 14, 1990",1:00,,San Francisco 49ers,W 45-35,W -5.5,@,Atlanta Falcons,O 46,
Sun,"Oct 14, 1990",1:00,@,Houston Oilers,W 48-17,W -4,,Cincinnati Bengals,O 48,
Sun,"Oct 14, 1990",1:00,@,Kansas City Chiefs,W 43-24,W -6.5,,Detroit Lions,O 41,
Sun,"Oct 14, 1990",1:00,@,New Orleans Saints,W 25-20,P -5,,Cleveland Browns,O 38,
Sun,"Oct 14, 1990",1:00,@,New York Jets,L 3-39,L -4,,San Diego Chargers,O 38,
Sun,"Oct 14, 1990",1:00,@,Tampa Bay Buccaneers,W 26-14,W -2.5,,Green Bay Packers,U 44,
Sun,"Oct 14, 1990",4:00,@,Denver Broncos,L 17-34,L -7.5,,Pittsburgh Steelers,O 39,
Sun,"Oct 14, 1990",4:00,@,Los Angeles Raiders,W 24-17,W -4.5,,Seattle Seahawks,O 39,
Sun,"Oct 14, 1990",4:00,@,Phoenix Cardinals,W 20-3,W -1.5,,Dallas Cowboys,U 37,
Sun,"Oct 14, 1990",4:00,,New York Giants,W 24-20,W -1,@,Washington Redskins,O 39,
Sun,"Oct 14, 1990",7:30,@,Chicago Bears,W 38-9,W -2,,Los Angeles Rams,O 41,
Mon,"Oct 15, 1990",9:00,@,Philadelphia Eagles,W 32-24,W -4.5,,Minnesota Vikings,O 41,
