Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Sun,"Dec 2, 1990",1:00,@,Buffalo Bills,W 30-23,W -3,,Philadelphia Eagles,O 40,
Sun,"Dec 2, 1990",1:00,@,Chicago Bears,W 23-17 (OT),L -8.5,,Detroit Lions,O 38,
Sun,"Dec 2, 1990",1:00,,Los Angeles Rams,W 38-23,W -3.5,@,Cleveland Browns,O 41,
Sun,"Dec 2, 1990",1:00,,Kansas City Chiefs,W 37-7,W -8.5,@,New England Patriots,O 37,
Sun,"Dec 2, 1990",1:00,@,Pittsburgh Steelers,L 12-16,L -4.5,,Cincinnati Bengals,U 41,
Sun,"Dec 2, 1990",1:00,,Atlanta Falcons,L 17-23,L -2.5,@,Tampa Bay Buccaneers,U 42,
Sun,"Dec 2, 1990",1:00,@,Washington Redskins,W 42-20,W -3,,Miami Dolphins,O 39,
Sun,"Dec 2, 1990",4:00,,New Orleans Saints,L 13-17,L -1,@,Dallas Cowboys,U 36,
Sun,"Dec 2, 1990",4:00,,Los Angeles Raiders,W 23-20,W -2.5,@,Denver Broncos,O 38,
Sun,"Dec 2, 1990",4:00,@,Phoenix Cardinals,W 20-17,W -2,,Indianapolis Colts,U 40,
Sun,"Dec 2, 1990",4:00,@,San Diego Chargers,W 38-17,W -7,,New York Jets,O 37,
Sun,"Dec 2, 1990",4:00,,Houston Oilers,L 10-13 (OT),L -1.5,@,Seattle Seahawks,U 42,
Sun,"Dec 2, 1990",8:00,@,Minnesota Vikings,W 23-7,W -6,,Green Bay Packers,U 42,
Mon,"Dec 3, 1990",9:00,@,San Francisco 49ers,W 7-3,W -3.5,,New York Giants,U 42,
