Sun,"Sep 23, 1990",1:00,@,Chicago Bears,W 19-16,W -2.5,,Minnesota Vikings,U 37,
Sun,"Sep 23, 1990",1:00,@,Cincinnati Bengals,W 41-7,W -9.5,,New England Patriots,O 42,
Sun,"Sep 23, 1990",1:00,@,Cleveland Browns,L 14-24,L -4,,San Diego Chargers,O 36,
Sun,"Sep 23, 1990",1:00,@,Green Bay Packers,L 3-17,L -2.5,,Kansas City Chiefs,U 42,
Sun,"Sep 23, 1990",1:00,@,Houston Oilers,W 24-10,W -9.5,,Indianapolis Colts,U 41,
Sun,"Sep 23, 1990",1:00,@,New Orleans Saints,W 28-7,W -9.5,,Phoenix Cardinals,U 37,
Sun,"Sep 23, 1990",1:00,@,New York Giants,W 20-3,W -6.5,,Miami Dolphins,U 40,
Sun,"Sep 23, 1990",1:00,@,Washington Redskins,W 19-15,L -14,,Dallas Cowboys,U 42,
Sun,"Sep 23, 1990",4:00,@,Denver Broncos,W 34-31 (OT),L -9,,Seattle Seahawks,O 37,
Sun,"Sep 23, 1990",4:00,@,Los Angeles Raiders,W 20-3,W -5.5,,Pittsburgh Steelers,U 35,
Sun,"Sep 23, 1990",4:00,@,Los Angeles Rams,L 21-27,L -5.5,,Philadelphia Eagles,O 46,
Sun,"Sep 23, 1990",4:00,@,San Francisco 49ers,W 19-13,L -11.5,,Atlanta Falcons,U 46,
Sun,"Sep 23, 1990",8:00,@,Tampa Bay Buccaneers,W 23-20,P -3,,Detroit Lions,U 47,
Mon,"Sep 24, 1990",9:00,@,New York Jets,L 7-30,L PK,,Buffalo Bills,U 43,
