Day,Date,Time(ET),Location,Favorite,Score,Spread,Opponent,Underdog,Over/Under,Additional Notes
Thu,"Nov 24, 1966",,@,Dallas Cowboys,W 26-14,W -3.5,,Cleveland Browns,,
Thu,"Nov 24, 1966",,@,Detroit Lions,L 14-41,L -13,,San Francisco 49ers,,
Sun,"Nov 27, 1966",,@,Baltimore Colts,L 7-23,L -7.5,,Los Angeles Rams,,
Sun,"Nov 27, 1966",,@,Chicago Bears,W 23-6,P -17,,Atlanta Falcons,,
Sun,"Nov 27, 1966",,,Green Bay Packers,W 28-16,W -6,@,Minnesota Vikings,,
Sun,"Nov 27, 1966",,@,St Louis Cardinals,W 6-3,L -6.5,,Pittsburgh Steelers,,
Sun,"Nov 27, 1966",,@,Washington Commanders,W 72-41,W -17,,New York Giants,,
